de,en,predicted_de
"Ein Polizist sitzt auf dem Motorrad und wartet, bis die Ampel auf Grün springt.",A policeman is on a bike waiting for the light to change.,"Ein Polizeiinspektor steht um den Bahnhof, um die L"
Eine Gruppe von Männern sitzt an einem Tisch.,A group of men are sitting around a table.,"Ein Gruppe von Männer sind round den Tisch gehen.
"
"Gruppe hochrangiger Geschäftsleute, darunter auch ältere Personen, nehmen in einem Park Drinks zu sich.",High class group of business people including older men have drinks in park.,Ein ersterelternes Team von Unternehmen aus großen M
Frau spricht mit Freundin während Spaziergangs mit Hund im Freien an einem sonnigen Tag.,Woman talking to friend while walking dog outside on a sunny day.,"Frauen talkiert am Freund an, um Hund zurückgehen"
Ein junger Mann in einem schwarz-weißen Shirt und weißem Stirnband.,A young man wearing a gray and black shirt and a white headband,Ein jüngster Mädchen trug einen grayschweigend
Zwei Personen fahren Motorrad gemeinsam mit vielen anderen Motorradfahrern.,Two people are riding a motorcycle along with many other riders.,Zwei Personen erzählen eine Motorrad mit vielen anderen Pass
Zwei Frauen in Militäruniformen stehen mit anderen Soldaten in Formation.,Two women in military uniform are standing with other soldiers in formation.,Zwei Frauen im Militärgebiet sind bei anderen Sold
Drei Mädchen lächeln für ein Foto.,Three girls are smiling for a picture.,"Drei Mädchen sind entgegen ein Bild gezogen.
"
Die Dame mit der schwarz gerahmten Brille und der gelben Sweatjacke blickt verwirrt während sie auf der braunen Bank sitzt.,The lady wearing black rimmed glasses and a yellow sweater jacket looks confused as she sits on the tan covered bench.,Die Frau mit schwarzen Rimbinden-Glasen und einer yellower T
"Ein rothaariger junger Mann trinkt aus einem Springbrunnen, der wie eine Frau geformt ist.",A red-haired young man drinks from a water fountain shaped like a woman.,Un kleines Mann mit roten Haare dringet seiner Wasser fürst
Zwei Männer und eine Frau gehen eine Straße in einer Stadt entlang.,Two men and a woman are walking down a city street.,Zwei Männer und eine Frau trüben unser Stadtstr
Ein Mann mittleren Alters mit roten Haaren und Brille hält einen Säugling.,A middle-aged man with red-hair and glasses holding an infant.,Das kindliche Mädchen mit der roten Haare und Glas haben einen
Ein kleiner Junge mit roter Mütze reitet auf einem Pferd.,A young boy in a red hat rides on a horse.,"Ein junge Boy im Roten Haut steht um einem Reiter.
"
Zwei Jungen spielen auf dem Gehsteig.,Two boys are playing on the sidewalk.,"Zwei Kinder spielen an der Straße.
"
Ein kleines Mädchen in einem schwarzen Badeanzug hält eine Schaufel am Strand.,A little girl wearing a black swimming suit holding a shovel at a beach.,"Eine kleine Mädchen, mit einem schwarzen Schwimmsuit g"
Alter Mann mit Hut und Mantel schläft im Sitzen auf einem Sofa.,Old man wearing a hat and coat sleeping sitting up on a sofa.,"Ein Altersmann mit Haut und Tracht schlafend, sagt sich"
Zwei Jungen in Winterkleidung sehen zum Himmel hoch und winken mit den Armen.,Two boys are looking up at the sky and waving theirs arms and they are dressed in clothes to keep them warm.,Zwei Kinder hören auf dem Himmel und wegen ihnen ih
Ein junges Paar sitzt auf dem Gehsteig und entspannt gemeinsam.,A young couple sits on the sidewalk and relaxes together.,Ein jungen Frau und einen junge Mädchen sind auf dem
Ein Jugendlicher in Hemd und Krawatte kniet und macht ein Peace-Zeichen.,A youth wearing a shirt and tie crouching down and giving the peace sign.,"Eine Jugendliche, bei einem T-Shirt und Tie kl"
Drei Personen sitzen an einem Tisch vor der Bar Gelati Tabacchi.,Three people sitting at a table outside Bar Gelati Tabacchi.,Die drei Menschen sind im Bett einer Gassenaufgabe befind
Ein Junge in einem schwarzen Shirt und mit roten Schweißbändern hängt kopfüber während andere Leute zusehen.,A boy in a black shirt and red wristbands hanging upside down while other people look on.,Ein Junge im schwarzen T-Shirt und roten Brücke s
Ein Mann geht vor einem bunten Wandgemälde vorbei.,A man walking in front of a colorful wall mural.,Der Mann wärts im Frühling an einer kolorsamen Wall-
"Ein junger Mann, der mit einem weiteren jungen Mann unterwegs ist, blickt sich nach drei Mädchen um, an denen sie gerade vorbeigegangen sind.",A young man walking with another young man glances back at three girls they just passed,"Ein junges Mann mit andere jungen Mann läuft weiter, um d"
Ein Mann schneidet in einem gartenähnlichen Café eine Palme zurück.,A man trimming a palm tree inside a patio-type cafe'.,Der Mann mit den Palmten in einer Patiozentrale kam und verw
"Fünf Personen, angeführt von einer Frau in einem pinken Hemd und braunen Rock, gehen eine Treppe hoch.",Five people walking up a set of stairs led by a woman in a pink shirt and brown skirt.,"Fünf personen schweigen über einem Setzpunkt, d"
Eine Gruppe von Menschen auf einem Obstmarkt im Freien.,A group of people at an outdoor fruit market,Eine Gruppe von Menschen im geplanten Frühstückmarkt.
"Zwei Jungen essen ihr McDonald's-Menü im Außenbereich, umgeben von vielen anderen Leuten.",Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people.,Zwei Boys essen ihre Macdonalds-Esgrüßung am alten
Eine Frau in einer Jeansjacke geht auf einem Gehweg.,A woman wearing a denim jacket walking along a sidewalk,Ein Frau mit einem denim-Kapelle weiße und wär
Ein Mann fährt ein Allradfahrzeug mit vier Passagieren vorne und einem seitlich sitzenden Mann hinten.,A man driving a four wheeled vehicle with four passengers riding on the front and a man sitting sideways on the back.,"Er drive einen Fahrzeug mit vier Seiten, die weiße"
Ein Mann in einem smaragdgrünen Hemd liest eine Zeitung.,A man in a teal shirt reads a newspaper.,Ein Mann mit einem Teer-Schwaben lebt und lieste e
Ein Junge in einem Rutschfahrzeug trägt ein grünes Shirt und hält ein Buch.,A boy in a stroller is wearing a green shirt and holding a book.,Ein Kleebwirt mit einem Stückchen hat einen grünen T
Zwei Kinder sitzen nebeneinander und essen Süßigkeiten.,Two children sit side by side while eating a treat.,Zwei Kinder sind bei seinem/herumgehenden Essen essen.
"Radfahrer auf der Straße, alle tragen Helme.","People are riding bicycles in the street, and they are all wearing helmets.",In den Strassen verarbeitet sich die Menschen mit Bicylindern
"Menschengruppen, die alle Fahrrad fahren.",Crowds of people are all riding bicycles.,Vorn sind voller Personen mit Bücken und Fahrrad zusam
Ein Mann sitzt auf einer Plattform mit Rädern und wird von einem Esel gezogen.,A man seated on a platform with wheels is being pulled by a burrow.,Der Mann im Bahnhof mit Verkaufsbauten wird ein Schle
Ein Mann fährt auf einem Fahrrad durch einen Torbogen.,A man on a bicycle pedals through an archway.,Ein Mann mit einem Radfahrer steht und weiße Fahrrad
Ein bunt gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,"Ein jeden junges Mädchen, mit einem schwarzen Blutk"
Zwei Männer in Anzügen unter einem Regenschirm vor einem Graffiti.,Two men in suits under an umbrella and in front of graffiti.,Zwei Männer mit Kontraste und einem Umbrellastraße
Ein dünner alter Mann trägt ein schmutziges weißes Hemd und fährt Fahrrad auf der Straße.,An old skinny man wearing the dirty white shirt riding on a bicycle on the street,"Ein angeschöner, geschmackiges Mädchen mit"
"Ein Mann versucht, einen jungen Stier von einem Pferd aus mit dem Seil zu fangen.",On horseback a man attempts to rope a young bull.,"Un Mann läuft über einem jungen König, um einen"
Ein Cowboy versucht von einem Pferd aus ein Kalb mit dem Lasso zu fangen.,A cowboy is attempting to lasso a calf while riding a horse.,"Der Ritter warum seinen Kalfus gefährlich wurde, um"
Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,Two bicyclists with helmets on are riding past some empty country fields.,Zwei Bicylinder mit Hilfe beim Fahrraden stehen sich l
Ein Mann beugt sich zur Seite und zieht etwas aus einer Tasche.,A man is leaning over and pulling something out of a bag.,Der Mann trägt sich um und lautt ein wahrer Wasser in
"Ein Mann fährt in einem motorisierten Wagen vorbei, um den Park zu sehen.",A man in a motor cart rides by to witness the park area.,"Ein Mann im Motorradfahrzeug entgegenwärtigt,"
Eine tätowierte Person betrachtet ein Foto auf einer Digitalkamera oder einem Handy.,"A person with tattoos is looking at a photo on a digital camera, or cellphone.",Ein Mensch mit Tatten verlässt einen Bild auf dem Digital-
Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,A man in a black shirt and jeans standing on the sidewalk looking at the camera.,Der Mann im schwarzen Schuß und der Kleid mit Flats gab uns am
Ein Junge und ein Mädchen stehen gemeinsam auf dem Gehsteig und betrachten einen Gegenstand.,A boy and girl standing together on the pavement as they look at an object.,"Er und Sie sind auf dem Platz, um ein Objekt zu se"
Mehrere Personen in blauen Kitteln und eine in einem Rock und schwarzer Bluse.,Several people in blue scrubs and one in a skirt and black blouse.,Vier Personen mit Blauem Schleichern und einem als Skirt
Eine Frau und eine Hund sitzen auf einer weißen Bank in der Nähe eines Strandes.,A woman and a dog sit on a white bench near a beach.,Frau und Hund sind immer nach dem Meer einmal in einer
Zwei Frauen gehen auf der Erde vor einem Gebäude.,Two women are walking in dirt outside a large building.,"Zwei Frauen stehen im Dirt verwandelt, bei einem h"
Eine Gruppe von Männern und ein Kind in weißen Shorts stehen auf der Straße.,A group of men and a child in white shirts are standing in the road.,Ein Gruppe von Mannen und einen Kind im Weisse Schützenboots
Eine ganz in schwarz gekleidete Frau trägt auf dem Gehsteig eine schwarze Tasche.,A woman wearing all black and carrying a black bag on sidewalk,"Eine Frau, die in Schwarz und mit einem schwarzen Bag in der Straß"
Gruppe von Männern sitzt an einem Tisch und unterhält sich.,Group of men sitting around a table having a conversation.,"Ein Gruppe von Mannes sitzt über einem Tisch gehen,"
Ein Wandgemälde auf einem Gebäude.,A mural on the side of a building.,"Ein Mural im Haus der Bauung.
"
Ein asiatischer Mann mit Handschuhen arbeitet an einem Imbissstand.,An Asian man wearing gloves is working at a food stall.,Der Asiatische Mann mit Schüssel arbeitet an einem Gerichtsteller
Frau sitzt an einem Tisch und arbeitet an ihrem Laptop.,Woman sitting at a table while working on her laptop computer.,"Frauen sittie im Tisch, um einen Laptop zur Arbeit am"
Eine Person sieht zum Computer auf einem Tisch mit einem Telefon und einer Schachtel.,A person is looking at the computer on a desk with a phone and a box.,"Er liest an der Computermittel im Tisch, bei einem Phoner und"
"Ein Mann sitzt in einem Stuhl und beobachtet Leute, die vorbeigehen.",A man sits in a chair watching people stroll by.,"Ein Mann sitzt im Sitz bei einem Bett, die Menschen mit dem"
Zwei Personen mit Hüten stehen auf einem Feld und pflegen Nutzpflanzen.,Two people wearing hats are standing in a field tending to a crop.,"Zwei Menschen mit Hauten befinden sich im Feld, um ein K"
Jemand springt in Barcelona über ein Reck.,Some leaping over a high bar in Barcelona.,Sie machen Lebensspielen über ein hochbar im Barcel
Ein Mann in Stiefeln und einem Cowboyhut sitzt auf einem springenden Pferd während Zuschauer auf den Tribünen sitzen.,A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.,"Ein Mann, mit Boots und der Cowboykette, sich am Winde zu h"
Zwei junge Mädchen sitzen auf der Straße und essen Mais.,Two young girls are sitting on the street eating corn.,"Zwei junge Mädchen seiten an der Strasse, es ermittelt"
Drei Kinder in Footballtrikots zweier verschiedener Mannschaften spielen Football auf einem Footballplatz während ein weiterer Spieler und ein Erwachsener im Hintergrund stehen.,"Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.",Tre Kinder im Fußballkammer von zwei diferenten Teams spielen
Ein kleines Kind mit schmutzigem Gesicht wird von einer alten Frau gehalten.,A young child with a dirty face being held by an old woman.,Ein junges Kind mit einem grünen Haut bei dem Ältere
Ein Mann mit Brille blickt in die Kamera während ein anderer Mann in einem blauen Hemd sich auf etwas konzentriert.,A man with glasses looks at camera while another man in a blue shirt looks intently at something.,"Ein Mann mit Glasen gewint einen Kamera, während andere"
Zwei Personen sitzen unter einem Baum mit grünem Gemüse.,Two people sitting under a tree picking a green vegetable.,Zwei Personen sind im Wald bei einem grünen Leuchtetum
Ein kleiner Junge mit einer blauen Mütze blickt durch ein Teleskop während ein anderer Junge zusieht.,A young boy wearing a blue hat is looking through a telescope while another boy watches.,"Ein junge Boy, die eine blaue Haut verloren, warum"
3 Männer kochen in einer kleinen Küche.,3 men cooking in a small kitchen.,"Drei Küchenärten kochen.
"
Ein junges Mädchen in einem grauen Schneeanzug fährt Ski auf einem verschneiten Berg.,A young girl wearing a gray snowsuit skiing on a snowy mountain.,"Eine kleine Mädchen, die grüne Schneußkiste und"
Eine Gruppe von Dorfbewohnerinnen versammelt sich beim Tanz.,A group of village women gathered in dance,Ein Gruppe der Dorfgemeinden enthüllte sich in Tanz
Ein Mann und eine Frau sortieren Wäsche mit Latexhandschuhen.,A man and a woman are sorting through laundry with latex gloves on.,"Er und Sie schreiben mit Latexglasen, um ihren Launde"
Ein junges Mädchen sitzt auf einem Holzstuhl.,A young girl sitting on a wooden chair.,Eine jüngste Mädchen sich im Walde sitzt um e
Zwei Arbeiter verschweißen die Stangen eines Zauns an einer viel befahrenen Vorstadtstraße.,Two workers weld the bars of a fence near a busy suburban street.,Zwei Arbeitnehmer Schweigen den Baumaufwand bei einer
Ein junger Mann mit langen Haaren fährt an einem bewölkten Tag Skateboard auf dem Geländer.,A long-haired young man skateboarding on the rails on a cloudy day.,Un lang davonährigen junges Mann mit Brauckalter spielende an der
Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,In a outdoor market two men shovel snow and slush out of the path.,Im Freienmarkt zwei Mannen mit Sowjet-Schneeschleife
Ein Typ in einem weißen Hemd spielt auf einer weißen Gitarre.,A guy wearing a white shirt is playing a white guitar.,Ein Mann mit einer weißen T-Shirt spielt eine we
"Ein junges Mädchen zeigt seiner Freundin, wie man eine Einwegkamera verwendet.",A young girl shows her friends how to use a disposable camera.,"Ein junge Mädchen zeigt ihre Freunde, was e"
Ein kleiner Junge springt von einem Steg in einen See.,A little boy jumping off of a dock into a lake.,"Ein kleines Kind spielt aus dem Schiff in der See.
"
Eine sehr unglücklich aussehende Dame mit einer grünen Maske beim Zahnarzt.,Lady with a green mask at the dentist and she just look very unhappy.,Die Dame mit einem grünen Masks in der Dienst und sie kann
Ein Mann mit einer orangen Jacke und blauem Mütze klettert auf einen verschneiten Berg.,A man with an orange jacket and blue hat climbing a snowy mountain.,Der Mann mit der Oranje-Schuhe und der blauem Haut schre
Ein kleines Mädchen mit blonden Haaren spielt und spritzt in einer Schlammpfütze.,A little girl with blond-hair is playing and splashing in a mud puddle.,Ein kleines Mädchen mit blaue Haare spielt und l
Ein Kind fährt auf einem Fahrrad durch eine Gasse mit einem Graffiti.,A child is riding a bike down an alleyway with graffiti in it.,Ein Kind runde eine Kleinflugmaschine durch einem Allee
Eine Turnerin wird bei einer Veranstaltung beurteilt.,A gymnast is being judged at en event.,"Ein Gymnast befindet sich im Event.
"
Menschen gehen auf einer Straße mit einem Straßenhändler.,People walking down the street with a street vendor.,Personen strängeln den Strasse mit einem Streichelvendeler.
"Ein Mann in traditionellem Gewand steht neben seinem Esel, der anscheinend auch bekleidet ist.","Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.",Er trägt ein Kleid der Traditioneller Dressen und standes an seinem M
Zwei Kinder spielen auf einem Fahrrad.,Two children are playing on a bicycle.,"Zwei Kinder spielen mit einem Radfahrer.
"
Zwei Männer aus gegnerischen Mannschaften spielen Fußball auf einem Fußballplatz.,Two men on opposing teams are playing soccer in a field.,Zwei Mannen auf einem verschiedener Team spielen Fußball an
"Ein Mann springt in die Luft und posiert für Fotografen, die auf dem Boden liegen.",A man jumps and poses for photographers lying on the ground.,"Der Mann spricht und begrüßt die Fotografen, liegend"
Das Mädchen trinkt aus einem Springbrunnen.,The girl is taking a drink from a water fountain.,"Die Schwestern hat ein Wasserstoffesaufzug geben.
"
Der Hobbyhöhlenforscher findet auf seiner Wanderung Wasser.,The spelunker finds water during his trek.,"Die Spelereier findet Wasser unter seinem Weg.
"
Ein Mann in einem Laborkittel blickt durch ein Mikroskop.,A man in a lab coat is looking through a microscope.,Ein Mann in einem Labarock warum er selbst mit dem Mikrosk
Ein blondes Mädchen schläft auf einer braunen Couch.,A blond girl sleeps on a brown couch.,"Ein blonde Mädchen schlaft am roten Sofa.
"
Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,A man sweeps a sidewalk outside of a brick building during the day.,Ein Mann schickt eine Straße bei der Stadtmauer um die
Drei Männer kochen in einer Küche.,Three men are cooking in a kitchen.,"Drei Männer warger ungeschriebene Küche.
"
Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,A man on a scaffold in front of a house is smiling and posing for the photographer.,Ein Mann im Schafzimmer bei einem Haus wird geschacht
Zwei Mädchen in Shorts halten Händchen an einem Pool.,Two girls in shorts are holding hands at a pool.,Zwei Frauen im Schuhkasten haben ihren Haut gek
Vier asiatische Kinder sitzen auf einer Bank und winken lächelnd in die Kamera.,Four Asian kids sit on a bench and wave and smile to the camera.,"Vier Asienschüler sind im Bench gesitzen und gestiegen,"
Kinder auf Fahrrädern in einem scheinbar verarmten Land.,Children ride bikes in what appears to be an impoverished nation.,Kinder rissen Bikes im wiedergefundene Völkerreich.
Ein kleiner Junge mit Kochmütze und Schürze schneidet in einer Küche Würstchen.,"A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.","Ein junges Mann, mit einem Chefkoch und einer Küchenpfe"
Das ist ein Clown in einer Grundschule.,This is a clown at an elementary school.,"Diese ist ein Clown in der Schule an das Kindesalter.
"
Der Schiffskapitän lächelt und hält das Steuerrad seines hölzernen Schiffs.,The smiling ship captain is holding the wheel of his wooden ship.,Der fröhliche Schiffskapitän schließt das W
Ein gelber Bulldozer schafft Erdreich aus dem Weg.,A yellow bulldozer working to move dirt.,"Eine grünene Bulldozerschlepper, um Boden zu schl"
"Eine Frau in einem roten Hemd reitet auf einem weißen Pferd, das an den Bäumen entlang galoppiert.",A woman in a red shirt is riding an all white horse that is galloping along the trees.,"Eine Frau mit einem roten T-Shirt steht immer weiter,"
Eine Frau sitzt vor Bäumen im Hintergrund auf einem sehr großen Stein und lächelt in die Kamera.,A woman sitting on a very large rock smiling at the camera with trees in the background.,"Die Frau sitzt im schönen Haken, um einmal zur Camera"
"Drei Männer in bunten Kostümen, Perücken und verrückten Sonnenbrillen gehen auf die Straße.",Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.,Drei Hunde mit vielen Farbenfarbecktieren in den Straß
Ein Mädchen spielt in einem kleinen Pool.,A girl plays in a small pool.,"Eine Tochter spielt im kleinen Pfad.
"
"Zwei Kinder, ein Junge in einem gelben Shirt und ein Mädchen in blau-weiß gestreiften Klamotten, schaukeln.","Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.","Zwei Kinder, ein Mann in grünem Schubert und eine Mä"
Ein Mann wirft ein Fischernetz in die Bucht.,A man throws a fishing net into the bay.,"Ein Mann fällt einen Netz von Fisch im Meer.
"
"Ein Mann mit einem grauen Shirt, blauen Jeans und neongrüner Sicherheitsweste steht mit einem weißen Lieferwagen und einem weißen Gebäude im Hintergrund auf einer Bahnstrecke.","A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.","Ein Mann mit grünen T-Shirt, blauem Jeans und einen"
Zwei Bauarbeiter legen Blech über Balken.,Two construction workers are laying sheet metal across beams.,"Zwei Baumeister arbeiten, mit Schrauben gegründetem"
Eine Band mit dezent in blau gekleideten Bandmitgliedern steht auf der Bühne.,There is a band on stage with band members wearing hints of blue.,"Es gibt ein Band in der Stadt, die Bände mit Bandmembers"
Ein Rocker mit freiem Oberkörper singt in ein Mikrofon während er Schlagzeug spielt.,A rocker with his shirt off sings into a microphone while he plays the drums.,Ein Rocken mit seinen Schlüsseln verbrachte singt in e
"Ich sehe einen Mann, der die Artikel aus seinem Einkaufswagen nimmt um zu bezahlen.","I see a man putting his items from the shopping cart, ready to be checked out.",Ich spiele einen Mann mit seinem Geschäftsfahrzeugn
Der Mann mit dem Spazierstock macht einen Spaziergang.,The man with the cane is on a walk.,"Der Mann mit dem Kante ist am Fahrradweg.
"
Eine Frau in einem weißen Pullover trainiert auf einem Crosstrainer.,A woman wearing a white shirt works out on an elliptical machine.,"Frauen, die ein schwarzer T-Shirt träumen im Eint"
Ein Mädchen mit einer Maske reitet auf den Schultern eines Mannes durch eine Menschenmenge.,A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.,Ein Mädchen mit einem Maßstab entführt sich in
"Zwei Mädchen, eines älter und in Schwarz, das andere jünger und in Weiß, machen dieselbe Tanzbewegung vor einer Dekoration aus Ballons.","Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.","Zwei Mädchen, ein Älterer und einer Jugendlic"
Mehrere Frauen führen vor einem Gebäude einen Tanz auf.,Several women are performing a dance in front of a building.,Sie sind heute Abend eine Frauenarztinformelle mit der
Ein glatzköpfiger Mann geht auf einem Gehsteig und telefoniert mit seinem Handy.,A bald man walking down a city sidewalk while talking on his cellphone.,"Ein balde Mann schläft am Stadionstrasse, um einen Tele"
Eine Frau spielt mit Fingerpuppen während ein kleines Kind in einem Kostüm vorbeigeht.,A woman plays with finger puppets as a small child in a costume walks by.,"Eine Frau spielt mit Fingerpuppen, die einen kleiner Kind"
"Eine Gruppe von Leuten beobachtet junge Männer, die auf Eimern Schlagzeug spielen.",A group of people watch young men play the drums using makeshift buckets as instruments.,"Ein Gruppe von Menschen spielt auf junge Männer, die"
Ein Mädchen mit gewöhnlicher und improvisierter Schutzausrüstung fährt Rollerblades.,A girl with normal and improvised safety gear rollerblades.,Ein Mädchen mit normale und improvisierten Sicherheitsschutz
Ein kleines weißes Auto steht auf den Bahngleisen und wurde eventuell vom Zug im Hintergrund gerammt.,A small white car is on the train tracks and may or may not have been hit by the train behind it.,Ein kleines weißes Auto führt sich auf die Bah
Zwei Rocker singen und spielen auf einer dunklen Bühne.,Two rockers are singing and playing on a dark stage.,"Zwei Rockerin singen und spielen am schwarzen Raum.
"
"Ein Mädchen mit einer Baseballmütze, weißem T-Shirt und blauen Shorts steht in einem von Wald umgebenen Gebirgsbach.","A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.","Una niña llevando un cáptaro de galletas, blanco te"
Zwei Männer spielen Gitarre vor einem großen Publikum.,Two men playing guitar in front of a large audience.,"Zwei Maske mit Guitare im Licht der Großen Audience.
"
Mehrere Leute tanzen vor diesem riesigen Haus mit ihren Partnern.,A number of people are dancing with their significant others in front of this huge house.,Erzählte Personen spielen mit ihren Siebzehnter und
Frau mit Hund verkauft ihre Ware im Freien auf den Treppen des alten Gebäudes.,Woman and dog selling her wares on the old building steps outside.,"Frau und Hund, die ihre Wärme aus der alten Bah"
Eine Frau diskutiert mit zwei professionell gekleideten Männern.,"A woman and two men, that are dressed professionally, are having a discussion.","Sie sind eine Frau und zwei Männer, die in professionellen Sch"
Eine Gruppe von Männern in roten und schwarzen Jacken sitzt auf Motorrädern und wartet.,A group of men in red and black jackets waits on motorcycles.,"Ein Gruppe von Mannen, die im Rot und Schwarz geträumt wer"
Ein Typ in einem weißen Trikot mit der Nummer 3 auf dem Rücken spielt Fußball.,A guy dressed in a white uniform with a number 3 on it playing soccer.,Ein Mann mit einem blauen Untertitel und drei Zwe
Ein Mann verkauft Snacks bei einer Sportveranstaltung.,A man is selling snacks at a sporting event.,"Ein Mann trifft Snacken bei einem Sportfest.
"
"Zwei Männer vom grünen Team tackeln in einem Rugbymatch die anderen Spieler des schwarzen Teams, um an den Ball zu kommen.",Two males from the green team tackles the other members from black team for the ball in a game of rugby.,Zwei Mannes von der grünen Team enttäuschen die anderen Mitgl
Kinder kämpfen um den Ballbesitz.,Kids compete to gain possession of the soccer ball.,"Kinder entstehen, um die Spielregel zu erneutigen und einen Ball"
Eine Person in Blau wirft auf einer Bowlingbahn als einzige ihre Kugel.,A person in blue is the only person currently throwing their ball at a bowling alley.,"Eine Person im blauen hat einen Ball gespielt, die an dem Bowling"
Mehrere Fußballer auf einem Feld in Aktion.,Several football players on a field in action.,"Fußballspieler im Grün und Blau.
"
"Junger Mann sitzt auf einem Skateboard, hält sein Handy und posiert auf der Rolltreppe.","Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.",Er junger Mann sitzt um einen Schleißboden und hat e
Eine blau gekleidete Frau läuft einen Marathon.,A lady dressed in blue running a marathon.,Eine Frau mit blauem Schutzkopf fängt ein Mar
Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,This band is getting ready to perform in front of an audience at church.,"Das Band trifft, um in einem Erlebnis zu führen"
"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.",# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,Ich habe ihr einiges in der I-Staat stärker
"Zwei männliche Curler sind auf dem Eis und wischen den Pfad vor dem Stein, während eine kleine Menschenmenge zusieht.","Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.",Zwei Männer bei einem Eisplatz schneiden die Schle
Männer spielen auf einem matschigen Platz Fußball.,Men play soccer on a muddy field.,"Er spielen Fußball an einem mündlichen Felde.
"
Ein Basketballspieler in Weiß geht in die Hocke während ein Spieler in Rot auf ihn zu läuft.,A basketball player in white squats while a player in red moves toward him.,Eine Basketballspielerin im weißen Schuhe füllt s
Menschen gehen durch einen Torbogen in einer alt aussehenden Stadt.,People walk through an arch in an old-looking city.,In den alten Stadtfinden werden Personen schwimmen im er
"Zwei Rennautos, eines rot und das andere blau, fahren nebeneinander auf einer Rennstrecke während mehrere Personen zusehen.","Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.","Zwei Rennenwagen, eine rote und ein blau, sind am"
Ein Footballspieler in einem weißen Trikot hält einen Football.,A football player in a white uniform is holding a football.,Ein Fußballspieler im weißen Schuhe hat einen F
Ein sehr kleiner Junge guckt nach vorne während er in einen kleinen Gegenstand beißt.,A very young boy stares ahead as he is biting onto a small object.,"Ein kleineskindlose Boy es umfangreich arbeitet, mit"
Eine Frau und ein Kind gehen eine Straße entlang.,A woman and a child are walking down a street.,Eine Frau und ein Kind läßten sich an dem Straße we
Ein Hockeyspiel wird vor großem Publikum gespielt.,A hockey game is being played with lots of people watching it.,Ein Hockey-Eigenepplen unterstützt sich mit viel
Drei Frauen springen im Gras auf Bällen.,Three woman bouncing on balls in the grass.,Die drei Frauen spielen auf den Fußballbeine im Gr
"Ein afroamerikanischer Junge in blauen Shorts, einem schwarz-roten Shirt und weißen Turnschuhen spielt Tennis.","An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.",Ein kleines Afrikanischer Känguru in blauen Schuhe
Ein Mann und eine Frau in weißen Shirts umarmen sich.,A man and a woman in white shirts are hugging each other.,Ein Mann und eine Frau mit weißen T-Shirt schreib
"Ein Mann mit einer Art Messsonde spricht mit einer Familie, die versucht, zu lächeln und freundlich zu sein.",A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.,"Er spielt mit einem Familie, die ihnen verschiedene Pro"
Sehr kleiner Junge in einem grünen Shirt liegt mit dem Gesicht nach unten auf einem weißen Bett.,Very young boy in a green shirt laying face down on a white bed.,Viel kleines Kleeblauchsmann im grünen T-Shirt
Ein Extremradfahrer ruht sich aus während im Hintergrund die Sonne untergeht.,An extreme cyclist stops to rest as the sun sets in the background.,Er hätte einen extremen Radfahrer selten abgeschloss
Eine warm gekleidete Frau fährt in einem verschneiten Gebiet Ski.,A woman is skying in a snowy area wearing warm clothing.,Die Frau führt sich in einem snowgipfeln geb
Vier Mädchen und eine Frau lernen zu basteln.,Four girls and a lady learning how to do some crafts.,"Sie fünf Frauen und eine Dame lernen, wie man mit"
"Ein Mann in schwarz-weiß gestreifter Kleidung versucht, ein Pferd anzuhalten.",A man wearing black and white stripes is trying to stop a horse.,"Ein Mann in Schwarz und Weiß, die einen Hund verloren hatte,"
