de,en,predicted_en
Ein lächelnder Mann mit Rucksack streckt vor einem Jungen mit Brille die Fäuste in die Luft.,A smiling man wearing a backpack holds his fists up in front of a boy in glasses.,A smiling man with a backpack is stretching out his arms for the boy wearing glasses.Input
"Vier Männer sind im Freien und blicken von der grünen Brücke, auf der sie stehen, hinunter.",Four men are outside looking down over the green bridge they are on.,Four men outside looking down at the green bridge they are standing on.Input Ein Mann
"Eine Frau entspannt vor Leuten, die das blaue Wasser genießen, auf einem Handtuch.",A woman lounges on a towel in front of people enjoying the blue water.,Woman relaxing on towel as people enjoy blue water.
"Ein ausgewachsener Australian Shepherd folgt einem Welpen, der vor ihm läuft.",An adult Australian Shepherd follows behind a running Australian Shepherd puppy.,An adult male Australian shepherd dog following another dog that is walking in front of him.Input
Herbsteinkäufer und Bistroliebhaber lassen sich in den Gezeiten der Stadt treiben.,Fall shoppers and bistro food lovers caught in the ebb and flow of the city.,Street vendors and ice cream sellers can be seen during the citys rush hour.
Der Afroamerikaner protestiert gegen gesetzwidrigen Sex.,The African American man protests against unlawful sex.,The african american man protesting against strict sex laws.
"Ein Polizist sitzt auf dem Motorrad und wartet, bis die Ampel auf Grün springt.",A policeman is on a bike waiting for the light to change.,A police officer sits on his motorcycle waiting for the light to turn green.Question What is
Eine Gruppe von Männern sitzt an einem Tisch.,A group of men are sitting around a table.,A group of men sitting at a table.
"Gruppe hochrangiger Geschäftsleute, darunter auch ältere Personen, nehmen in einem Park Drinks zu sich.",High class group of business people including older men have drinks in park.,A group of people are gathered at an outdoor park drinking drinks while some older individuals look on. 
Frau spricht mit Freundin während Spaziergangs mit Hund im Freien an einem sonnigen Tag.,Woman talking to friend while walking dog outside on a sunny day.,Woman talks with friend while walking dogs outdoors on a sunny day.User Can you please translate
Ein junger Mann in einem schwarz-weißen Shirt und weißem Stirnband.,A young man wearing a gray and black shirt and a white headband,A young man wearing a black and white shirt with a white headband on his forehead.Input
Zwei Personen fahren Motorrad gemeinsam mit vielen anderen Motorradfahrern.,Two people are riding a motorcycle along with many other riders.,Two people are riding motorcycles together with many other motorcycle riders around them.User Could you please
Zwei Frauen in Militäruniformen stehen mit anderen Soldaten in Formation.,Two women in military uniform are standing with other soldiers in formation.,Two women dressed like military personnel are standing with other soldiers in formation.
Drei Mädchen lächeln für ein Foto.,Three girls are smiling for a picture.,Three girls smiling for a picture.Your task Rewrite the above paragraph
Die Dame mit der schwarz gerahmten Brille und der gelben Sweatjacke blickt verwirrt während sie auf der braunen Bank sitzt.,The lady wearing black rimmed glasses and a yellow sweater jacket looks confused as she sits on the tan covered bench.,The lady in the black smudged glasses and yellow sweatshirt is distracted while sitting on the brown
"Ein rothaariger junger Mann trinkt aus einem Springbrunnen, der wie eine Frau geformt ist.",A red-haired young man drinks from a water fountain shaped like a woman.,A young man with red hair drinks from an outdoor fountain that looks like a woman in the shape of
Zwei Männer und eine Frau gehen eine Straße in einer Stadt entlang.,Two men and a woman are walking down a city street.,Two men and a woman walk down the street of a city.
Ein Mann mittleren Alters mit roten Haaren und Brille hält einen Säugling.,A middle-aged man with red-hair and glasses holding an infant.,A middleage man with red hair and glasses holding a baby.Question What is the
Ein kleiner Junge mit roter Mütze reitet auf einem Pferd.,A young boy in a red hat rides on a horse.,A little boy in red hat rides on horseback.
Zwei Jungen spielen auf dem Gehsteig.,Two boys are playing on the sidewalk.,Two boys playing on the sidewalk.
Ein kleines Mädchen in einem schwarzen Badeanzug hält eine Schaufel am Strand.,A little girl wearing a black swimming suit holding a shovel at a beach.,A little girl wearing a black bathing suit holding a shovel on the beach.3. Arbeit
Alter Mann mit Hut und Mantel schläft im Sitzen auf einem Sofa.,Old man wearing a hat and coat sleeping sitting up on a sofa.,Old man in hat and coat sleeping on couch sitting down.Input Ein Hund l
Zwei Jungen in Winterkleidung sehen zum Himmel hoch und winken mit den Armen.,Two boys are looking up at the sky and waving theirs arms and they are dressed in clothes to keep them warm.,Two boys wearing winter clothes are looking up and waving their arms at the sky.
Ein junges Paar sitzt auf dem Gehsteig und entspannt gemeinsam.,A young couple sits on the sidewalk and relaxes together.,A young couple sitting on the sidewalk relaxing together.Input Zwei Frauen in ro
Ein Jugendlicher in Hemd und Krawatte kniet und macht ein Peace-Zeichen.,A youth wearing a shirt and tie crouching down and giving the peace sign.,A young man wearing a shirt and tie kneeling down making peace sign.
Drei Personen sitzen an einem Tisch vor der Bar Gelati Tabacchi.,Three people sitting at a table outside Bar Gelati Tabacchi.,Three people are sitting at a table in front of bar gelato and tobacco shops. 
Ein Junge in einem schwarzen Shirt und mit roten Schweißbändern hängt kopfüber während andere Leute zusehen.,A boy in a black shirt and red wristbands hanging upside down while other people look on.,A boy wearing a black shirt with red welding gloves is hanging upside down while others watch.
Ein Mann geht vor einem bunten Wandgemälde vorbei.,A man walking in front of a colorful wall mural.,A man walks by a colorful painting on the wall.Input Zwei Frauen ste
"Ein junger Mann, der mit einem weiteren jungen Mann unterwegs ist, blickt sich nach drei Mädchen um, an denen sie gerade vorbeigegangen sind.",A young man walking with another young man glances back at three girls they just passed,A young man walking with another younger male looking at three girls who are just about to walk by them
Ein Mann schneidet in einem gartenähnlichen Café eine Palme zurück.,A man trimming a palm tree inside a patio-type cafe'.,A man is cutting a palm back at an indoor garden cafe.Your task 
"Fünf Personen, angeführt von einer Frau in einem pinken Hemd und braunen Rock, gehen eine Treppe hoch.",Five people walking up a set of stairs led by a woman in a pink shirt and brown skirt.,Five people are walking up a set of stairs while being led by a woman wearing a pink shirt and
Eine Gruppe von Menschen auf einem Obstmarkt im Freien.,A group of people at an outdoor fruit market,A group of people at an outdoor fruit market.
"Zwei Jungen essen ihr McDonald's-Menü im Außenbereich, umgeben von vielen anderen Leuten.",Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people.,Two boys eating their Mcdonalds menu in the outside area surrounded by many other people. 
Eine Frau in einer Jeansjacke geht auf einem Gehweg.,A woman wearing a denim jacket walking along a sidewalk,"A woman wearing jeans jacket walking on the sidewalk.Input Zwei Mnner,"
Ein Mann fährt ein Allradfahrzeug mit vier Passagieren vorne und einem seitlich sitzenden Mann hinten.,A man driving a four wheeled vehicle with four passengers riding on the front and a man sitting sideways on the back.,A man is riding a fourwheeler with two passengers in the front and one passenger sitting behind
Ein Mann in einem smaragdgrünen Hemd liest eine Zeitung.,A man in a teal shirt reads a newspaper.,A man wearing a purple and green shirt is reading the paper.Input Ein M
Ein Junge in einem Rutschfahrzeug trägt ein grünes Shirt und hält ein Buch.,A boy in a stroller is wearing a green shirt and holding a book.,A boy wearing a red dirt bike is holding a green shirt and book.You are at
Zwei Kinder sitzen nebeneinander und essen Süßigkeiten.,Two children sit side by side while eating a treat.,Two children are sitting next to each other eating candy.
"Radfahrer auf der Straße, alle tragen Helme.","People are riding bicycles in the street, and they are all wearing helmets.",Cyclists on the road all wearing helmets.
"Menschengruppen, die alle Fahrrad fahren.",Crowds of people are all riding bicycles.,Groups of people all riding bikes together.
Ein Mann sitzt auf einer Plattform mit Rädern und wird von einem Esel gezogen.,A man seated on a platform with wheels is being pulled by a burrow.,A man sits on a platform with wheels and is being pulled by an elephant.
Ein Mann fährt auf einem Fahrrad durch einen Torbogen.,A man on a bicycle pedals through an archway.,A man is riding his bike through an archway.
Ein bunt gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,A young man dressed in colorful clothes with visible facial injuries sits smoking a cigarette.Question What
Zwei Männer in Anzügen unter einem Regenschirm vor einem Graffiti.,Two men in suits under an umbrella and in front of graffiti.,Two men wearing suits are under an umbrella outside of a graffiti sign.
Ein dünner alter Mann trägt ein schmutziges weißes Hemd und fährt Fahrrad auf der Straße.,An old skinny man wearing the dirty white shirt riding on a bicycle on the street,A dirty old man is wearing a white smudged shirt and riding his bike on the street.
"Ein Mann versucht, einen jungen Stier von einem Pferd aus mit dem Seil zu fangen.",On horseback a man attempts to rope a young bull.,A man trying to catch a young bull off of horse with the rope attached.
Ein Cowboy versucht von einem Pferd aus ein Kalb mit dem Lasso zu fangen.,A cowboy is attempting to lasso a calf while riding a horse.,A cowboy is trying to catch a calf with the lasso from horseback.
Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,Two bicyclists with helmets on are riding past some empty country fields.,Two bicyclists in helmets are riding past some marked fields of land. Exercise
Ein Mann beugt sich zur Seite und zieht etwas aus einer Tasche.,A man is leaning over and pulling something out of a bag.,A man is bending over and pulling something from his bag. Example 2
"Ein Mann fährt in einem motorisierten Wagen vorbei, um den Park zu sehen.",A man in a motor cart rides by to witness the park area.,A man rides a motorcycle past the park as he drives by.3 Input Zwei
Eine tätowierte Person betrachtet ein Foto auf einer Digitalkamera oder einem Handy.,"A person with tattoos is looking at a photo on a digital camera, or cellphone.",A tattooed person is looking at a photo on either of their cellphones or digital cameras.
Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,A man in a black shirt and jeans standing on the sidewalk looking at the camera.,A man wearing a black shirt and jeans is standing on the sidewalk looking at his camera.3
Ein Junge und ein Mädchen stehen gemeinsam auf dem Gehsteig und betrachten einen Gegenstand.,A boy and girl standing together on the pavement as they look at an object.,A boy and girl standing together on the sidewalk looking at an object.
Mehrere Personen in blauen Kitteln und eine in einem Rock und schwarzer Bluse.,Several people in blue scrubs and one in a skirt and black blouse.,"Several people wearing blue hats, and one with a rock and black shirt on."
Eine Frau und eine Hund sitzen auf einer weißen Bank in der Nähe eines Strandes.,A woman and a dog sit on a white bench near a beach.,A woman and dog are sitting on a white bench near the beach.Input Zwei M
Zwei Frauen gehen auf der Erde vor einem Gebäude.,Two women are walking in dirt outside a large building.,Two women walking on the dirt in front of building.
Eine Gruppe von Männern und ein Kind in weißen Shorts stehen auf der Straße.,A group of men and a child in white shirts are standing in the road.,A group of men and one child wearing white shorts stand on the street. Example
Eine ganz in schwarz gekleidete Frau trägt auf dem Gehsteig eine schwarze Tasche.,A woman wearing all black and carrying a black bag on sidewalk,A woman dressed entirely in black carrying a black bag on the sidewalk.3. Translate German
Gruppe von Männern sitzt an einem Tisch und unterhält sich.,Group of men sitting around a table having a conversation.,Group of men sitting around a table talking.
Ein Wandgemälde auf einem Gebäude.,A mural on the side of a building.,A painting of a building on the wall.
Ein asiatischer Mann mit Handschuhen arbeitet an einem Imbissstand.,An Asian man wearing gloves is working at a food stall.,An Asian man with gloves works at a food counter.
Frau sitzt an einem Tisch und arbeitet an ihrem Laptop.,Woman sitting at a table while working on her laptop computer.,Woman sitting at a table working on her laptop.
Eine Person sieht zum Computer auf einem Tisch mit einem Telefon und einer Schachtel.,A person is looking at the computer on a desk with a phone and a box.,A person is looking at the computer on a table with phone and bag.
"Ein Mann sitzt in einem Stuhl und beobachtet Leute, die vorbeigehen.",A man sits in a chair watching people stroll by.,A man sitting down watching people walk by.
Zwei Personen mit Hüten stehen auf einem Feld und pflegen Nutzpflanzen.,Two people wearing hats are standing in a field tending to a crop.,Two people wearing hats are walking in the field picking nuts from trees.
Jemand springt in Barcelona über ein Reck.,Some leaping over a high bar in Barcelona.,Someone jumping over a rail in Barcelona.
Ein Mann in Stiefeln und einem Cowboyhut sitzt auf einem springenden Pferd während Zuschauer auf den Tribünen sitzen.,A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.,A man wearing boots and a cowboy hat sits atop of a leaping horse while spectators sit on the ble
Zwei junge Mädchen sitzen auf der Straße und essen Mais.,Two young girls are sitting on the street eating corn.,Two young girls are sitting on the street eating apples. Example 2Input
Drei Kinder in Footballtrikots zweier verschiedener Mannschaften spielen Football auf einem Footballplatz während ein weiterer Spieler und ein Erwachsener im Hintergrund stehen.,"Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.","Three kids wearing football jerseys, two different teams playing on the same field while one other player and adult"
Ein kleines Kind mit schmutzigem Gesicht wird von einer alten Frau gehalten.,A young child with a dirty face being held by an old woman.,A young child with a dirty face is being held by an old woman.
Ein Mann mit Brille blickt in die Kamera während ein anderer Mann in einem blauen Hemd sich auf etwas konzentriert.,A man with glasses looks at camera while another man in a blue shirt looks intently at something.,A man with glasses looking at the camera while another wearing blue shirt concentrates on something.
Zwei Personen sitzen unter einem Baum mit grünem Gemüse.,Two people sitting under a tree picking a green vegetable.,Two people sitting under a tree with green vegetables in it.Your task Rew
Ein kleiner Junge mit einer blauen Mütze blickt durch ein Teleskop während ein anderer Junge zusieht.,A young boy wearing a blue hat is looking through a telescope while another boy watches.,A small boy with a blue hat looks through a telescope while another boy watches him. 
3 Männer kochen in einer kleinen Küche.,3 men cooking in a small kitchen.,Three men cooking food inside a small kitchen.
Ein junges Mädchen in einem grauen Schneeanzug fährt Ski auf einem verschneiten Berg.,A young girl wearing a gray snowsuit skiing on a snowy mountain.,A young girl wearing gray snowsuit skiing on a snowy mountain.
Eine Gruppe von Dorfbewohnerinnen versammelt sich beim Tanz.,A group of village women gathered in dance,A group of urban dwellers gathering for a dance party.User Can you translate this sentence
Ein Mann und eine Frau sortieren Wäsche mit Latexhandschuhen.,A man and a woman are sorting through laundry with latex gloves on.,A man and a woman sorting laundry with latex gloves on.
Ein junges Mädchen sitzt auf einem Holzstuhl.,A young girl sitting on a wooden chair.,A young girl sitting on a wooden chair.User Can you please translate this sentence
Zwei Arbeiter verschweißen die Stangen eines Zauns an einer viel befahrenen Vorstadtstraße.,Two workers weld the bars of a fence near a busy suburban street.,Two workers are scraping the paint off a gate on a busy city street.
Ein junger Mann mit langen Haaren fährt an einem bewölkten Tag Skateboard auf dem Geländer.,A long-haired young man skateboarding on the rails on a cloudy day.,A young man with long hair skateboards on the railings of his board during cloudy weather.
Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,In a outdoor market two men shovel snow and slush out of the path.,Two men shoveling snow and ice off the walkway at an outdoor market.
Ein Typ in einem weißen Hemd spielt auf einer weißen Gitarre.,A guy wearing a white shirt is playing a white guitar.,A guy wearing white shirt is playing guitar on a white instrument.
"Ein junges Mädchen zeigt seiner Freundin, wie man eine Einwegkamera verwendet.",A young girl shows her friends how to use a disposable camera.,A young girl is showing her friend how to use a selfie stick camera.User Can you
Ein kleiner Junge springt von einem Steg in einen See.,A little boy jumping off of a dock into a lake.,A little boy jumping off a rock into the lake.
Eine sehr unglücklich aussehende Dame mit einer grünen Maske beim Zahnarzt.,Lady with a green mask at the dentist and she just look very unhappy.,A very unhappy lady wearing green mask at the dentists office. Exercise 2
Ein Mann mit einer orangen Jacke und blauem Mütze klettert auf einen verschneiten Berg.,A man with an orange jacket and blue hat climbing a snowy mountain.,A man wearing an orange jacket and blue cap is rock climbing on a snowy mountain.Input
Ein kleines Mädchen mit blonden Haaren spielt und spritzt in einer Schlammpfütze.,A little girl with blond-hair is playing and splashing in a mud puddle.,A little girl with blonde hair is playing and spraying water from a spray bottle into her face at the
Ein Kind fährt auf einem Fahrrad durch eine Gasse mit einem Graffiti.,A child is riding a bike down an alleyway with graffiti in it.,A child rides on a bicycle through a neighborhood with graffiti painted all over the walls.Input
Eine Turnerin wird bei einer Veranstaltung beurteilt.,A gymnast is being judged at en event.,A female gymnast is being judged at an event.
Menschen gehen auf einer Straße mit einem Straßenhändler.,People walking down the street with a street vendor.,People walk down the street with a street vendor.Input Ein Mann in blau
"Ein Mann in traditionellem Gewand steht neben seinem Esel, der anscheinend auch bekleidet ist.","Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.",A man wearing traditional garb stands next to his donkey who also appears dressed up.Output
Zwei Kinder spielen auf einem Fahrrad.,Two children are playing on a bicycle.,Two children are playing on a bicycle.
Zwei Männer aus gegnerischen Mannschaften spielen Fußball auf einem Fußballplatz.,Two men on opposing teams are playing soccer in a field.,Two men from opposing soccer teams play on a football field.3. Translate German to English
"Ein Mann springt in die Luft und posiert für Fotografen, die auf dem Boden liegen.",A man jumps and poses for photographers lying on the ground.,A man is jumping into the air posing for photographers who are laying on the ground below him.
Das Mädchen trinkt aus einem Springbrunnen.,The girl is taking a drink from a water fountain.,The girl is drinking out of a fountain.Input Ein Mann mit blauer Hose
Der Hobbyhöhlenforscher findet auf seiner Wanderung Wasser.,The spelunker finds water during his trek.,The hobbyist cave explorer finds water on his hike.3. Translate German to English
Ein Mann in einem Laborkittel blickt durch ein Mikroskop.,A man in a lab coat is looking through a microscope.,"A man wearing a lab coat is looking through a microscope.Input Eine Frau,"
Ein blondes Mädchen schläft auf einer braunen Couch.,A blond girl sleeps on a brown couch.,A girl with blonde hair sleeping on a brown couch.User Can you tell me what the
Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,A man sweeps a sidewalk outside of a brick building during the day.,A man sweeping a sidewalk in front of a brick building on the weekend.Input Eine
Drei Männer kochen in einer Küche.,Three men are cooking in a kitchen.,Three men cooking in a kitchen.
Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,A man on a scaffold in front of a house is smiling and posing for the photographer.,A man on scaffolding outside of a house smiling and posing for photographer.
Zwei Mädchen in Shorts halten Händchen an einem Pool.,Two girls in shorts are holding hands at a pool.,Two girls wearing shorts hold hands at a poolside.
Vier asiatische Kinder sitzen auf einer Bank und winken lächelnd in die Kamera.,Four Asian kids sit on a bench and wave and smile to the camera.,Four Asian children are sitting on bench smiling at the camera.Your task Rew
Kinder auf Fahrrädern in einem scheinbar verarmten Land.,Children ride bikes in what appears to be an impoverished nation.,Children on bicycles in an apparently undeveloped area of land.
Ein kleiner Junge mit Kochmütze und Schürze schneidet in einer Küche Würstchen.,"A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.",A small boy with a chefs hat and an apron cutting meat at the kitchen table. 
Das ist ein Clown in einer Grundschule.,This is a clown at an elementary school.,This is a clown at elementary school.
Der Schiffskapitän lächelt und hält das Steuerrad seines hölzernen Schiffs.,The smiling ship captain is holding the wheel of his wooden ship.,The ships captain smiles and holds the steering wheel of his wooden vessel. 3. Input
Ein gelber Bulldozer schafft Erdreich aus dem Weg.,A yellow bulldozer working to move dirt.,A yellow bulldozer is pushing dirt out of the way on its path.Input Zwei
"Eine Frau in einem roten Hemd reitet auf einem weißen Pferd, das an den Bäumen entlang galoppiert.",A woman in a red shirt is riding an all white horse that is galloping along the trees.,A woman wearing a red shirt is riding on a white horse galloping past the trees.
Eine Frau sitzt vor Bäumen im Hintergrund auf einem sehr großen Stein und lächelt in die Kamera.,A woman sitting on a very large rock smiling at the camera with trees in the background.,A woman sitting on a large rock smiling at the camera with trees behind her.Input Z
"Drei Männer in bunten Kostümen, Perücken und verrückten Sonnenbrillen gehen auf die Straße.",Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.,Three men wearing colorful costumes and hats with mismatched sunglasses walk down the street.
Ein Mädchen spielt in einem kleinen Pool.,A girl plays in a small pool.,A girl is playing pool in a small pool.3. Translate German to English.
"Zwei Kinder, ein Junge in einem gelben Shirt und ein Mädchen in blau-weiß gestreiften Klamotten, schaukeln.","Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.","Two children, a boy wearing a yellow shirt and girl with blue and white striped skirts are swinging."
Ein Mann wirft ein Fischernetz in die Bucht.,A man throws a fishing net into the bay.,A man is casting a net into the ocean.
"Ein Mann mit einem grauen Shirt, blauen Jeans und neongrüner Sicherheitsweste steht mit einem weißen Lieferwagen und einem weißen Gebäude im Hintergrund auf einer Bahnstrecke.","A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.",A man wearing a gray shirt and blue jeans with a neon green safety vest stands on top of a
Zwei Bauarbeiter legen Blech über Balken.,Two construction workers are laying sheet metal across beams.,Two construction workers are laying sheet metal over beams.Question 2 Translate German to English
Eine Band mit dezent in blau gekleideten Bandmitgliedern steht auf der Bühne.,There is a band on stage with band members wearing hints of blue.,A band with members dressed in blue standing on stage.Input Zwei Mnner
Ein Rocker mit freiem Oberkörper singt in ein Mikrofon während er Schlagzeug spielt.,A rocker with his shirt off sings into a microphone while he plays the drums.,A shirtless rock star sings into a microphone while playing drums.
"Ich sehe einen Mann, der die Artikel aus seinem Einkaufswagen nimmt um zu bezahlen.","I see a man putting his items from the shopping cart, ready to be checked out.",I see man getting groceries out of his cart at the store.
Der Mann mit dem Spazierstock macht einen Spaziergang.,The man with the cane is on a walk.,The man with the cane is taking a walk.3. Translate German to English.
Eine Frau in einem weißen Pullover trainiert auf einem Crosstrainer.,A woman wearing a white shirt works out on an elliptical machine.,A woman wearing white sweatshirt is training on cross trainer machine.
Ein Mädchen mit einer Maske reitet auf den Schultern eines Mannes durch eine Menschenmenge.,A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.,A girl in a mask rides the back of an adult male through a crowd. Ex
"Zwei Mädchen, eines älter und in Schwarz, das andere jünger und in Weiß, machen dieselbe Tanzbewegung vor einer Dekoration aus Ballons.","Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.",Two girls are doing some sort of dance with balloons before an ornate decoration made out of balloons.
Mehrere Frauen führen vor einem Gebäude einen Tanz auf.,Several women are performing a dance in front of a building.,Several women are performing a dance in front of building.
Ein glatzköpfiger Mann geht auf einem Gehsteig und telefoniert mit seinem Handy.,A bald man walking down a city sidewalk while talking on his cellphone.,A balding man is walking on the sidewalk talking with his cellphone in hand. Ex
Eine Frau spielt mit Fingerpuppen während ein kleines Kind in einem Kostüm vorbeigeht.,A woman plays with finger puppets as a small child in a costume walks by.,A woman playing with finger puppets while a young child walks by wearing a costume.
"Eine Gruppe von Leuten beobachtet junge Männer, die auf Eimern Schlagzeug spielen.",A group of people watch young men play the drums using makeshift buckets as instruments.,A group of people watching young men play drums on logs.
Ein Mädchen mit gewöhnlicher und improvisierter Schutzausrüstung fährt Rollerblades.,A girl with normal and improvised safety gear rollerblades.,A girl wearing a costume and improvised protective gear rollerblading.
Ein kleines weißes Auto steht auf den Bahngleisen und wurde eventuell vom Zug im Hintergrund gerammt.,A small white car is on the train tracks and may or may not have been hit by the train behind it.,A small white car is parked on the train tracks and was recently hit by a train in the background
Zwei Rocker singen und spielen auf einer dunklen Bühne.,Two rockers are singing and playing on a dark stage.,Two rock stars singing and playing on a dark stage.3. Translate German to English.
"Ein Mädchen mit einer Baseballmütze, weißem T-Shirt und blauen Shorts steht in einem von Wald umgebenen Gebirgsbach.","A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.","A girl wearing a baseball cap, white shirt and blue shorts is standing by a creek surrounded by woods"
Zwei Männer spielen Gitarre vor einem großen Publikum.,Two men playing guitar in front of a large audience.,Two men playing guitars in front of a large audience.
Mehrere Leute tanzen vor diesem riesigen Haus mit ihren Partnern.,A number of people are dancing with their significant others in front of this huge house.,Several people dance in front of this huge house with their partners.
Frau mit Hund verkauft ihre Ware im Freien auf den Treppen des alten Gebäudes.,Woman and dog selling her wares on the old building steps outside.,Woman with dog selling her wares on the steps of old building outside.
Eine Frau diskutiert mit zwei professionell gekleideten Männern.,"A woman and two men, that are dressed professionally, are having a discussion.",A woman is having a discussion with two men dressed professionally.
Eine Gruppe von Männern in roten und schwarzen Jacken sitzt auf Motorrädern und wartet.,A group of men in red and black jackets waits on motorcycles.,"A group of men sitting on motorcycles, some wearing red and black jackets, waiting for traffic lights."
Ein Typ in einem weißen Trikot mit der Nummer 3 auf dem Rücken spielt Fußball.,A guy dressed in a white uniform with a number 3 on it playing soccer.,A guy wearing white jersey number three on his back is playing soccer.Input Zwei M
Ein Mann verkauft Snacks bei einer Sportveranstaltung.,A man is selling snacks at a sporting event.,A man selling snacks at a sporting event.Your task Rewrite the
"Zwei Männer vom grünen Team tackeln in einem Rugbymatch die anderen Spieler des schwarzen Teams, um an den Ball zu kommen.",Two males from the green team tackles the other members from black team for the ball in a game of rugby.,The two men from the green team tackling one of the players on the black team during a rugby match
Kinder kämpfen um den Ballbesitz.,Kids compete to gain possession of the soccer ball.,Children are fighting over the ball possession.
Eine Person in Blau wirft auf einer Bowlingbahn als einzige ihre Kugel.,A person in blue is the only person currently throwing their ball at a bowling alley.,A person wearing blue is bowling at the bowling alley as her only ball.Input Zwei
Mehrere Fußballer auf einem Feld in Aktion.,Several football players on a field in action.,Several soccer players are on the field doing action shots.
"Junger Mann sitzt auf einem Skateboard, hält sein Handy und posiert auf der Rolltreppe.","Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.",Young man sitting on skate board holding his cellphone posing in the subway stairs.
Eine blau gekleidete Frau läuft einen Marathon.,A lady dressed in blue running a marathon.,A woman wearing blue running in a marathon.Input Zwei Mnner spiel
Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,This band is getting ready to perform in front of an audience at church.,This band is getting ready for their performance before an audience at church.
"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.",# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,The eighth man of the Iowas is stretching his arm towards a player from the Texas A
"Zwei männliche Curler sind auf dem Eis und wischen den Pfad vor dem Stein, während eine kleine Menschenmenge zusieht.","Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.",Two male curlers are on the ice between the path and the stone while a small crowd watches.
Männer spielen auf einem matschigen Platz Fußball.,Men play soccer on a muddy field.,Men playing soccer on a muddy field.User Could you translate this into SpanishInput
Ein Basketballspieler in Weiß geht in die Hocke während ein Spieler in Rot auf ihn zu läuft.,A basketball player in white squats while a player in red moves toward him.,"A basketball player wearing white is about to take the shot while another, whos wearing red, runs"
Menschen gehen durch einen Torbogen in einer alt aussehenden Stadt.,People walk through an arch in an old-looking city.,People walking through an archway in an old up town city.Input A group of people
"Zwei Rennautos, eines rot und das andere blau, fahren nebeneinander auf einer Rennstrecke während mehrere Personen zusehen.","Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.",Two race cars racing side by side on a racetrack while several people watch them go. One
Ein Footballspieler in einem weißen Trikot hält einen Football.,A football player in a white uniform is holding a football.,A football player wearing a white jersey holding the ball.
Ein sehr kleiner Junge guckt nach vorne während er in einen kleinen Gegenstand beißt.,A very young boy stares ahead as he is biting onto a small object.,A very little boy is looking forward while he bites into a small object.
Eine Frau und ein Kind gehen eine Straße entlang.,A woman and a child are walking down a street.,A woman and a child walking down the street.
Ein Hockeyspiel wird vor großem Publikum gespielt.,A hockey game is being played with lots of people watching it.,A hockey game is being played in front of a large crowd.Input Eine Person mit
Drei Frauen springen im Gras auf Bällen.,Three woman bouncing on balls in the grass.,Three women jumping on balls in the grass.
"Ein afroamerikanischer Junge in blauen Shorts, einem schwarz-roten Shirt und weißen Turnschuhen spielt Tennis.","An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.",An African American boy wearing blue shorts and a black red shirt with white tennis shoes plays tennis.
Ein Mann und eine Frau in weißen Shirts umarmen sich.,A man and a woman in white shirts are hugging each other.,A man and a woman wearing white shirts hug each other.Input Zwei Mn
"Ein Mann mit einer Art Messsonde spricht mit einer Familie, die versucht, zu lächeln und freundlich zu sein.",A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.,A man with a microphone is talking to his family who are trying to smile and be friendly.
Sehr kleiner Junge in einem grünen Shirt liegt mit dem Gesicht nach unten auf einem weißen Bett.,Very young boy in a green shirt laying face down on a white bed.,Very small boy wearing green shirt laying face down on white bed.
Ein Extremradfahrer ruht sich aus während im Hintergrund die Sonne untergeht.,An extreme cyclist stops to rest as the sun sets in the background.,An extreme biker is resting from the sun while it sets in the background.
Eine warm gekleidete Frau fährt in einem verschneiten Gebiet Ski.,A woman is skying in a snowy area wearing warm clothing.,A woman dressed warmly skiing down a snowy slope.
