en,de,ende
A man trimming a palm tree inside a patio-type cafe'.,Ein Mann schneidet in einem gartenähnlichen Café eine Palme zurück.,Ein Mann schneidet einen Palmenbaum in einem Patio-Typ Café'.
Five people walking up a set of stairs led by a woman in a pink shirt and brown skirt.,"Fünf Personen, angeführt von einer Frau in einem pinken Hemd und braunen Rock, gehen eine Treppe hoch.","Fünf Menschen betreten eine Treppe, die von einer Frau in rosa Hemd und braunem Rock geführt wird."
A group of people at an outdoor fruit market,Eine Gruppe von Menschen auf einem Obstmarkt im Freien.,Eine Gruppe von Menschen auf einem Obstmarkt im Freien
Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people.,"Zwei Jungen essen ihr McDonald's-Menü im Außenbereich, umgeben von vielen anderen Leuten.",Zwei Jungs essen ihr McDonalds Mittagessen in einem Außensitzbereich umgeben von vielen anderen Menschen.
A woman wearing a denim jacket walking along a sidewalk,Eine Frau in einer Jeansjacke geht auf einem Gehweg.,Eine Frau in einer Denimjacke am Fuße des Bürgersteigs
A man driving a four wheeled vehicle with four passengers riding on the front and a man sitting sideways on the back.,Ein Mann fährt ein Allradfahrzeug mit vier Passagieren vorne und einem seitlich sitzenden Mann hinten.,Ein Mann fährt ein vierradiges Fahrzeug mit vier Passagieren auf der Vorderseite und ein Mann sitzt seitlich auf der Rückseite.
A man in a teal shirt reads a newspaper.,Ein Mann in einem smaragdgrünen Hemd liest eine Zeitung.,Ein Mann in einem Teal-Shirt liest eine Zeitung.
A boy in a stroller is wearing a green shirt and holding a book.,Ein Junge in einem Rutschfahrzeug trägt ein grünes Shirt und hält ein Buch.,Ein Junge im Kinderwagen trägt ein grünes Hemd und hält ein Buch.
Two children sit side by side while eating a treat.,Zwei Kinder sitzen nebeneinander und essen Süßigkeiten.,"Zwei Kinder sitzen nebeneinander, während sie eine Leckerbisse essen."
"People are riding bicycles in the street, and they are all wearing helmets.","Radfahrer auf der Straße, alle tragen Helme.",Menschen reiten auf der Straße auf Fahrrädern und tragen alle Helme.
Crowds of people are all riding bicycles.,"Menschengruppen, die alle Fahrrad fahren.",Massen von Menschen sind alle Radfahrer.
A man seated on a platform with wheels is being pulled by a burrow.,Ein Mann sitzt auf einer Plattform mit Rädern und wird von einem Esel gezogen.,"Ein Mann, der auf einer Plattform mit Rädern sitzt, wird von einer Höhle gezogen."
A man on a bicycle pedals through an archway.,Ein Mann fährt auf einem Fahrrad durch einen Torbogen.,Ein Mann auf einem Fahrrad pedaliert durch einen Bogenweg.
A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,Ein bunt gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.,Ein farbenfroh gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.
Two men in suits under an umbrella and in front of graffiti.,Zwei Männer in Anzügen unter einem Regenschirm vor einem Graffiti.,Zwei Männer in Anzügen unter einem Schirm und vor Graffiti.
An old skinny man wearing the dirty white shirt riding on a bicycle on the street,Ein dünner alter Mann trägt ein schmutziges weißes Hemd und fährt Fahrrad auf der Straße.,Ein alter mager Mann trägt das schmutzige weiße Hemd und fährt auf dem Fahrrad auf der Straße
On horseback a man attempts to rope a young bull.,"Ein Mann versucht, einen jungen Stier von einem Pferd aus mit dem Seil zu fangen.",Auf dem Pferd versucht ein Mann einen jungen Stier zu laden.
A cowboy is attempting to lasso a calf while riding a horse.,Ein Cowboy versucht von einem Pferd aus ein Kalb mit dem Lasso zu fangen.,"Ein Cowboy versucht, ein Kalb beim Reiten zu lasso."
Two bicyclists with helmets on are riding past some empty country fields.,Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,Zwei Radfahrer mit Helmen fahren durch einige leere Felder.
A man is leaning over and pulling something out of a bag.,Ein Mann beugt sich zur Seite und zieht etwas aus einer Tasche.,Ein Mann lehnt sich hinüber und zieht etwas aus einer Tasche.
A man in a motor cart rides by to witness the park area.,"Ein Mann fährt in einem motorisierten Wagen vorbei, um den Park zu sehen.","Ein Mann in einem Motorwagen fährt vorbei, um das Parkgebiet zu bezeugen."
"A person with tattoos is looking at a photo on a digital camera, or cellphone.",Eine tätowierte Person betrachtet ein Foto auf einer Digitalkamera oder einem Handy.,Eine Person mit Tätowierungen sieht ein Foto auf einer Digitalkamera oder einem Handy.
A man in a black shirt and jeans standing on the sidewalk looking at the camera.,Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,Ein Mann in schwarzem Hemd und Jeans steht auf dem Gehweg und schaut auf die Kamera.
A boy and girl standing together on the pavement as they look at an object.,Ein Junge und ein Mädchen stehen gemeinsam auf dem Gehsteig und betrachten einen Gegenstand.,"Ein Junge und ein Mädchen stehen zusammen auf dem Fußweg, während sie auf ein Objekt schauen."
Several people in blue scrubs and one in a skirt and black blouse.,Mehrere Personen in blauen Kitteln und eine in einem Rock und schwarzer Bluse.,Mehrere Leute in blauen Spülen und eine in einem Rock und einer schwarzen Bluse.
A woman and a dog sit on a white bench near a beach.,Eine Frau und eine Hund sitzen auf einer weißen Bank in der Nähe eines Strandes.,Eine Frau und ein Hund sitzen auf einer weißen Bank nahe einem Strand.
Two women are walking in dirt outside a large building.,Zwei Frauen gehen auf der Erde vor einem Gebäude.,Zwei Frauen gehen in Schmutz vor einem großen Gebäude.
A group of men and a child in white shirts are standing in the road.,Eine Gruppe von Männern und ein Kind in weißen Shorts stehen auf der Straße.,Eine Gruppe von Männern und ein Kind in weißen Hemden stehen auf der Straße.
A woman wearing all black and carrying a black bag on sidewalk,Eine ganz in schwarz gekleidete Frau trägt auf dem Gehsteig eine schwarze Tasche.,"Eine Frau, die ganz schwarz ist und eine schwarze Tasche auf dem Bürgersteig trägt"
Group of men sitting around a table having a conversation.,Gruppe von Männern sitzt an einem Tisch und unterhält sich.,"Gruppe von Männern, die um einen Tisch sitzen und ein Gespräch führen."
A mural on the side of a building.,Ein Wandgemälde auf einem Gebäude.,Ein Wandbild auf der Seite eines Gebäudes.
An Asian man wearing gloves is working at a food stall.,Ein asiatischer Mann mit Handschuhen arbeitet an einem Imbissstand.,Ein asiatischer Mann mit Handschuhen arbeitet an einem Lebensmittelstand.
Woman sitting at a table while working on her laptop computer.,Frau sitzt an einem Tisch und arbeitet an ihrem Laptop.,"Frau, die an einem Tisch sitzt, während sie an ihrem Laptop arbeitet."
A person is looking at the computer on a desk with a phone and a box.,Eine Person sieht zum Computer auf einem Tisch mit einem Telefon und einer Schachtel.,Eine Person sieht den Computer auf einem Schreibtisch mit einem Telefon und einer Box an.
A man sits in a chair watching people stroll by.,"Ein Mann sitzt in einem Stuhl und beobachtet Leute, die vorbeigehen.","Ein Mann sitzt in einem Stuhl und beobachtet, wie Menschen vorbeilaufen."
Two people wearing hats are standing in a field tending to a crop.,Zwei Personen mit Hüten stehen auf einem Feld und pflegen Nutzpflanzen.,Zwei Menschen mit Mützen stehen auf einem Feld und kümmern sich um eine Ernte.
Some leaping over a high bar in Barcelona.,Jemand springt in Barcelona über ein Reck.,Einige springen über eine hohe Bar in Barcelona.
A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.,Ein Mann in Stiefeln und einem Cowboyhut sitzt auf einem springenden Pferd während Zuschauer auf den Tribünen sitzen.,"Ein Mann in Stiefel und einen Cowboy Hut sitzt auf einem Pferd, das springt, während Zuschauer in den Stands sitzen."
Two young girls are sitting on the street eating corn.,Zwei junge Mädchen sitzen auf der Straße und essen Mais.,Zwei junge Mädchen sitzen auf der Straße und essen Mais.
"Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.",Drei Kinder in Footballtrikots zweier verschiedener Mannschaften spielen Football auf einem Footballplatz während ein weiterer Spieler und ein Erwachsener im Hintergrund stehen.,"Drei Kinder in Fußballuniformen von zwei verschiedenen Teams spielen auf einem Fußballfeld, während ein anderer Spieler und ein Erwachsener im Hintergrund stehen."
A young child with a dirty face being held by an old woman.,Ein kleines Kind mit schmutzigem Gesicht wird von einer alten Frau gehalten.,Ein junges Kind mit einem schmutzigen Gesicht wird von einer alten Frau gehalten.
A man with glasses looks at camera while another man in a blue shirt looks intently at something.,Ein Mann mit Brille blickt in die Kamera während ein anderer Mann in einem blauen Hemd sich auf etwas konzentriert.,"Ein Mann mit Brillen schaut auf die Kamera, während ein anderer Mann in blauem Hemd auf etwas aufmerksam schaut."
Two people sitting under a tree picking a green vegetable.,Zwei Personen sitzen unter einem Baum mit grünem Gemüse.,Zwei Leute sitzen unter einem Baum und pflücken ein grünes Gemüse.
A young boy wearing a blue hat is looking through a telescope while another boy watches.,Ein kleiner Junge mit einer blauen Mütze blickt durch ein Teleskop während ein anderer Junge zusieht.,"Ein junger Junge, der einen blauen Hut trägt, schaut durch ein Teleskop, während ein anderer Junge beobachtet."
3 men cooking in a small kitchen.,3 Männer kochen in einer kleinen Küche.,3 Männer kochen in einer kleinen Küche.
A young girl wearing a gray snowsuit skiing on a snowy mountain.,Ein junges Mädchen in einem grauen Schneeanzug fährt Ski auf einem verschneiten Berg.,Ein junges Mädchen mit einem grauen Schneeanzug auf einem schneebedeckten Berg.
A group of village women gathered in dance,Eine Gruppe von Dorfbewohnerinnen versammelt sich beim Tanz.,Eine Gruppe von Dorffrauen versammelte sich im Tanz
A man and a woman are sorting through laundry with latex gloves on.,Ein Mann und eine Frau sortieren Wäsche mit Latexhandschuhen.,Ein Mann und eine Frau sortieren die Wäsche mit Latexhandschuhen an.
A young girl sitting on a wooden chair.,Ein junges Mädchen sitzt auf einem Holzstuhl.,Ein junges Mädchen sitzt auf einem Holzstuhl.
Two workers weld the bars of a fence near a busy suburban street.,Zwei Arbeiter verschweißen die Stangen eines Zauns an einer viel befahrenen Vorstadtstraße.,Zwei Arbeiter schweißen die Balken eines Zauns in der Nähe einer belebten Vorortstraße.
A long-haired young man skateboarding on the rails on a cloudy day.,Ein junger Mann mit langen Haaren fährt an einem bewölkten Tag Skateboard auf dem Geländer.,Ein langes Haar junger Mann Skateboarding auf den Schienen an einem bewölkten Tag.
In a outdoor market two men shovel snow and slush out of the path.,Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,Auf einem Außenmarkt schütteln zwei Männer Schnee und schmücken aus dem Pfad.
A guy wearing a white shirt is playing a white guitar.,Ein Typ in einem weißen Hemd spielt auf einer weißen Gitarre.,Ein Mann mit einem weißen Hemd spielt eine weiße Gitarre.
A young girl shows her friends how to use a disposable camera.,"Ein junges Mädchen zeigt seiner Freundin, wie man eine Einwegkamera verwendet.","Ein junges Mädchen zeigt ihren Freunden, wie man eine Einwegkamera benutzt."
A little boy jumping off of a dock into a lake.,Ein kleiner Junge springt von einem Steg in einen See.,Ein kleiner Junge springt von einem Dock in einen See.
Lady with a green mask at the dentist and she just look very unhappy.,Eine sehr unglücklich aussehende Dame mit einer grünen Maske beim Zahnarzt.,Frau mit einer grünen Maske beim Zahnarzt und sie sieht einfach sehr unglücklich aus.
A man with an orange jacket and blue hat climbing a snowy mountain.,Ein Mann mit einer orangen Jacke und blauem Mütze klettert auf einen verschneiten Berg.,Ein Mann mit einer orangenen Jacke und einem blauen Hut klettert auf einen schneebedeckten Berg.
A little girl with blond-hair is playing and splashing in a mud puddle.,Ein kleines Mädchen mit blonden Haaren spielt und spritzt in einer Schlammpfütze.,Ein kleines Mädchen mit blondem Haar spielt und platzt in einem Schlammputtel.
A child is riding a bike down an alleyway with graffiti in it.,Ein Kind fährt auf einem Fahrrad durch eine Gasse mit einem Graffiti.,Ein Kind fährt ein Fahrrad durch eine Gassenstraße mit Graffiti darin.
A gymnast is being judged at en event.,Eine Turnerin wird bei einer Veranstaltung beurteilt.,Ein Turner wird bei der Veranstaltung beurteilt.
People walking down the street with a street vendor.,Menschen gehen auf einer Straße mit einem Straßenhändler.,Menschen gehen die Straße hinunter mit einem Straßenhändler.
"Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.","Ein Mann in traditionellem Gewand steht neben seinem Esel, der anscheinend auch bekleidet ist.","Man kleidet sich in ein traditionelles Kleid wie Kleidung, während er neben seinem Mauer steht, der auch kleidet zu sein scheint."
Two children are playing on a bicycle.,Zwei Kinder spielen auf einem Fahrrad.,Zwei Kinder spielen auf einem Fahrrad.
Two men on opposing teams are playing soccer in a field.,Zwei Männer aus gegnerischen Mannschaften spielen Fußball auf einem Fußballplatz.,Zwei Männer in den gegnerischen Teams spielen Fußball auf einem Feld.
A man jumps and poses for photographers lying on the ground.,"Ein Mann springt in die Luft und posiert für Fotografen, die auf dem Boden liegen.",Ein Mann springt und stellt sich für Fotografen auf dem Boden.
The girl is taking a drink from a water fountain.,Das Mädchen trinkt aus einem Springbrunnen.,Das Mädchen nimmt ein Getränk aus einem Wasserbrunnen.
The spelunker finds water during his trek.,Der Hobbyhöhlenforscher findet auf seiner Wanderung Wasser.,Der Steinbohrer findet Wasser während seines Wanderns.
A man in a lab coat is looking through a microscope.,Ein Mann in einem Laborkittel blickt durch ein Mikroskop.,Ein Mann in einem Labormantel schaut durch ein Mikroskop.
A blond girl sleeps on a brown couch.,Ein blondes Mädchen schläft auf einer braunen Couch.,Ein blondes Mädchen schläft auf einer braunen Couch.
A man sweeps a sidewalk outside of a brick building during the day.,Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,Ein Mann schlägt tagsüber einen Bürgersteig außerhalb eines Ziegelgebäudes.
Three men are cooking in a kitchen.,Drei Männer kochen in einer Küche.,Drei Männer kochen in einer Küche.
A man on a scaffold in front of a house is smiling and posing for the photographer.,Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.
Two girls in shorts are holding hands at a pool.,Zwei Mädchen in Shorts halten Händchen an einem Pool.,Zwei Mädchen in Shorts halten sich an einem Pool an den Händen.
Four Asian kids sit on a bench and wave and smile to the camera.,Vier asiatische Kinder sitzen auf einer Bank und winken lächelnd in die Kamera.,Vier asiatische Kinder sitzen auf einer Bank und winken und lächeln zur Kamera.
Children ride bikes in what appears to be an impoverished nation.,Kinder auf Fahrrädern in einem scheinbar verarmten Land.,Kinder fahren mit dem Fahrrad in einem verarmten Land.
"A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.",Ein kleiner Junge mit Kochmütze und Schürze schneidet in einer Küche Würstchen.,"Ein junger Junge, der einen Küchenchef-Hat und einen Vorhang trägt, schneidet Würstchen in einer Küche."
This is a clown at an elementary school.,Das ist ein Clown in einer Grundschule.,Dies ist ein Clown in einer Grundschule.
The smiling ship captain is holding the wheel of his wooden ship.,Der Schiffskapitän lächelt und hält das Steuerrad seines hölzernen Schiffs.,Der lächelnde Schiffskapitän hält das Rad seines Holzschiffs.
A yellow bulldozer working to move dirt.,Ein gelber Bulldozer schafft Erdreich aus dem Weg.,"Ein gelber Bulldozer arbeitet, um Schmutz zu bewegen."
A woman in a red shirt is riding an all white horse that is galloping along the trees.,"Eine Frau in einem roten Hemd reitet auf einem weißen Pferd, das an den Bäumen entlang galoppiert.","Eine Frau in rotem Hemd fährt auf einem ganz weißen Pferd, das entlang der Bäume galloppert."
A woman sitting on a very large rock smiling at the camera with trees in the background.,Eine Frau sitzt vor Bäumen im Hintergrund auf einem sehr großen Stein und lächelt in die Kamera.,Eine Frau sitzt auf einem sehr großen Felsen und lächelt auf die Kamera mit Bäumen im Hintergrund.
Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.,"Drei Männer in bunten Kostümen, Perücken und verrückten Sonnenbrillen gehen auf die Straße.",Drei Männer in hellfarbigen Kostümen gehen mit Perücken und verrückten Sonnenbrillen auf die Straße.
A girl plays in a small pool.,Ein Mädchen spielt in einem kleinen Pool.,Ein Mädchen spielt in einem kleinen Pool.
"Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.","Zwei Kinder, ein Junge in einem gelben Shirt und ein Mädchen in blau-weiß gestreiften Klamotten, schaukeln.","Zwei Kinder, ein Junge im gelben Hemd und ein Mädchen in blauen und weißen Streifen, schwingen."
A man throws a fishing net into the bay.,Ein Mann wirft ein Fischernetz in die Bucht.,Ein Mann wirft ein Angelnetz in die Bucht.
"A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.","Ein Mann mit einem grauen Shirt, blauen Jeans und neongrüner Sicherheitsweste steht mit einem weißen Lieferwagen und einem weißen Gebäude im Hintergrund auf einer Bahnstrecke.","Ein Mann, der ein graues Hemd, blaue Jeans und eine neongrüne Sicherheitsweste trägt, steht auf einer Bahnstrecke mit einem weißen LKW und einem weißen Gebäude im Hintergrund."
Two construction workers are laying sheet metal across beams.,Zwei Bauarbeiter legen Blech über Balken.,Zwei Bauarbeiter legen Blech über Balken.
There is a band on stage with band members wearing hints of blue.,Eine Band mit dezent in blau gekleideten Bandmitgliedern steht auf der Bühne.,"Es gibt eine Band auf der Bühne mit Bandmitgliedern, die blaue Hinweise tragen."
A rocker with his shirt off sings into a microphone while he plays the drums.,Ein Rocker mit freiem Oberkörper singt in ein Mikrofon während er Schlagzeug spielt.,"Ein Rocker mit seinem Hemd aus singt in einem Mikrofon, während er die Trommeln spielt."
"I see a man putting his items from the shopping cart, ready to be checked out.","Ich sehe einen Mann, der die Artikel aus seinem Einkaufswagen nimmt um zu bezahlen.","Ich sehe einen Mann, der seine Artikel aus dem Warenkorb legt, bereit, ausgecheckt zu werden."
The man with the cane is on a walk.,Der Mann mit dem Spazierstock macht einen Spaziergang.,Der Mann mit der Stöcke ist unterwegs.
A woman wearing a white shirt works out on an elliptical machine.,Eine Frau in einem weißen Pullover trainiert auf einem Crosstrainer.,Eine Frau mit einem weißen Hemd arbeitet auf einer elliptischen Maschine.
A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.,Ein Mädchen mit einer Maske reitet auf den Schultern eines Mannes durch eine Menschenmenge.,Ein Mädchen mit einer Maske fährt auf den Schultern eines Mannes durch einen überfüllten Bürgersteig.
"Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.","Zwei Mädchen, eines älter und in Schwarz, das andere jünger und in Weiß, machen dieselbe Tanzbewegung vor einer Dekoration aus Ballons.","Zwei Mädchen, eine ältere und in schwarz und eine jüngere und in weiß, spielen das gleiche Ballett vor den Dekorationen aus Ballons."
Several women are performing a dance in front of a building.,Mehrere Frauen führen vor einem Gebäude einen Tanz auf.,Mehrere Frauen tanzen vor einem Gebäude.
A bald man walking down a city sidewalk while talking on his cellphone.,Ein glatzköpfiger Mann geht auf einem Gehsteig und telefoniert mit seinem Handy.,"Ein weißer Mann, der auf dem Stadtsteig wandelt, während er mit seinem Handy spricht."
A woman plays with finger puppets as a small child in a costume walks by.,Eine Frau spielt mit Fingerpuppen während ein kleines Kind in einem Kostüm vorbeigeht.,Eine Frau spielt mit Fingerpuppen als kleines Kind in einem Kostüm geht vorbei.
A group of people watch young men play the drums using makeshift buckets as instruments.,"Eine Gruppe von Leuten beobachtet junge Männer, die auf Eimern Schlagzeug spielen.","Eine Gruppe von Leuten beobachtet junge Männer, die die Trommeln spielen, indem sie vorläufige Eimer als Instrumente verwenden."
A girl with normal and improvised safety gear rollerblades.,Ein Mädchen mit gewöhnlicher und improvisierter Schutzausrüstung fährt Rollerblades.,Ein Mädchen mit normalen und improvisierten Sicherheitsgetrieben Walzenblättern.
A small white car is on the train tracks and may or may not have been hit by the train behind it.,Ein kleines weißes Auto steht auf den Bahngleisen und wurde eventuell vom Zug im Hintergrund gerammt.,Ein kleines weißes Auto ist auf den Bahnstrecken und kann oder kann nicht von dem Zug hinter ihm getroffen worden sein.
Two rockers are singing and playing on a dark stage.,Zwei Rocker singen und spielen auf einer dunklen Bühne.,Zwei Rocker singen und spielen auf einer dunklen Bühne.
"A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.","Ein Mädchen mit einer Baseballmütze, weißem T-Shirt und blauen Shorts steht in einem von Wald umgebenen Gebirgsbach.","Ein Mädchen, das eine Baseballmütze, ein weißes T-Shirt und blaue Shorts trägt, steht in einem felsförmigen, waldförmigen Bergstrom."
Two men playing guitar in front of a large audience.,Zwei Männer spielen Gitarre vor einem großen Publikum.,Zwei Männer spielen Gitarre vor einem großen Publikum.
A number of people are dancing with their significant others in front of this huge house.,Mehrere Leute tanzen vor diesem riesigen Haus mit ihren Partnern.,Eine Reihe von Leuten tanzen mit ihren bedeutenden anderen vor diesem riesigen Haus.
Woman and dog selling her wares on the old building steps outside.,Frau mit Hund verkauft ihre Ware im Freien auf den Treppen des alten Gebäudes.,Frau und Hund verkaufen ihre Waren auf den alten Gebäudetreppen draußen.
"A woman and two men, that are dressed professionally, are having a discussion.",Eine Frau diskutiert mit zwei professionell gekleideten Männern.,"Eine Frau und zwei Männer, die professionell gekleidet sind, diskutieren."
A group of men in red and black jackets waits on motorcycles.,Eine Gruppe von Männern in roten und schwarzen Jacken sitzt auf Motorrädern und wartet.,Eine Gruppe von Männern in roten und schwarzen Jacken wartet auf Motorrädern.
A guy dressed in a white uniform with a number 3 on it playing soccer.,Ein Typ in einem weißen Trikot mit der Nummer 3 auf dem Rücken spielt Fußball.,"Ein Mann in einer weißen Uniform mit einer Nummer 3 darauf gekleidet, spielt Fußball."
A man is selling snacks at a sporting event.,Ein Mann verkauft Snacks bei einer Sportveranstaltung.,Ein Mann verkauft Snacks bei einer Sportveranstaltung.
Two males from the green team tackles the other members from black team for the ball in a game of rugby.,"Zwei Männer vom grünen Team tackeln in einem Rugbymatch die anderen Spieler des schwarzen Teams, um an den Ball zu kommen.",Zwei Männer aus dem grünen Team greifen die anderen Mitglieder aus dem schwarzen Team für den Ball in einem Spiel von Rugby an.
Kids compete to gain possession of the soccer ball.,Kinder kämpfen um den Ballbesitz.,Kinder konkurrieren um den Besitz des Fußballballs zu gewinnen.
A person in blue is the only person currently throwing their ball at a bowling alley.,Eine Person in Blau wirft auf einer Bowlingbahn als einzige ihre Kugel.,"Eine Person in blau ist die einzige Person, die derzeit ihren Ball an eine Bowlingbahn geworfen."
Several football players on a field in action.,Mehrere Fußballer auf einem Feld in Aktion.,Mehrere Fußballspieler auf einem Spielfeld.
"Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.","Junger Mann sitzt auf einem Skateboard, hält sein Handy und posiert auf der Rolltreppe.","Ein junger Mann sitzt auf einem Skateboard, hält ein Handy und posiert auf der Rolltreppe."
A lady dressed in blue running a marathon.,Eine blau gekleidete Frau läuft einen Marathon.,"Eine Frau in blau gekleidet, läuft ein Marathon."
This band is getting ready to perform in front of an audience at church.,Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,"Diese Band ist bereit, vor einem Publikum in der Kirche zu spielen."
# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.","# 8 für Iowa State steif arms ein Texas AM-Spieler versucht, ihn anzugreifen."
"Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.","Zwei männliche Curler sind auf dem Eis und wischen den Pfad vor dem Stein, während eine kleine Menschenmenge zusieht.","Zwei männliche Curling-Spieler sind auf Eis, die den Weg vor polierten Felsen, eine kleine Menge beobachtet."
Men play soccer on a muddy field.,Männer spielen auf einem matschigen Platz Fußball.,Männer spielen Fußball auf einem schmutzigen Feld.
A basketball player in white squats while a player in red moves toward him.,Ein Basketballspieler in Weiß geht in die Hocke während ein Spieler in Rot auf ihn zu läuft.,"Ein weißer Basketballspieler kniet, während sich ein roter Spieler zu ihm bewegt."
People walk through an arch in an old-looking city.,Menschen gehen durch einen Torbogen in einer alt aussehenden Stadt.,Menschen gehen durch einen Bogen in einer alt aussehenden Stadt.
"Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.","Zwei Rennautos, eines rot und das andere blau, fahren nebeneinander auf einer Rennstrecke während mehrere Personen zusehen.","Zwei Rennwagen, ein roter und ein blauer, fahren nebeneinander auf einer Rennstrecke und werden von mehreren Zuschauern beobachtet."
A football player in a white uniform is holding a football.,Ein Footballspieler in einem weißen Trikot hält einen Football.,Ein Fußballspieler in weißer Uniform hält einen Fußball.
A very young boy stares ahead as he is biting onto a small object.,Ein sehr kleiner Junge guckt nach vorne während er in einen kleinen Gegenstand beißt.,"Ein sehr junger Junge blickt vorwärts, als er auf ein kleines Objekt stößt."
A woman and a child are walking down a street.,Eine Frau und ein Kind gehen eine Straße entlang.,Eine Frau und ein Kind gehen eine Straße hinunter.
A hockey game is being played with lots of people watching it.,Ein Hockeyspiel wird vor großem Publikum gespielt.,"Ein Hockeyspiel wird mit vielen Leuten gespielt, die es sehen."
Three woman bouncing on balls in the grass.,Drei Frauen springen im Gras auf Bällen.,Drei Frauen springen auf Kugeln im Gras.
"An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.","Ein afroamerikanischer Junge in blauen Shorts, einem schwarz-roten Shirt und weißen Turnschuhen spielt Tennis.","Ein afrikanisch-amerikanischer Junge in blauen Shorts, einem schwarzen und roten Hemd und weißen Turnschuhen spielt Tennis."
A man and a woman in white shirts are hugging each other.,Ein Mann und eine Frau in weißen Shirts umarmen sich.,Ein Mann und eine Frau in weißen Hemden umarmen sich gegenseitig.
A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.,"Ein Mann mit einer Art Messsonde spricht mit einer Familie, die versucht, zu lächeln und freundlich zu sein.","Ein Mann spricht zu einer Familieneinheit, die eine Art Probegerät hält, während sie sich anschauen und lächeln, um höflich zu sein."
Very young boy in a green shirt laying face down on a white bed.,Sehr kleiner Junge in einem grünen Shirt liegt mit dem Gesicht nach unten auf einem weißen Bett.,Sehr junger Junge in grünem Hemd auf einem weißen Bett liegend.
An extreme cyclist stops to rest as the sun sets in the background.,Ein Extremradfahrer ruht sich aus während im Hintergrund die Sonne untergeht.,"Ein extremer Radfahrer stoppt, um sich auszuruhen, als die Sonne im Hintergrund untergeht."
A woman is skying in a snowy area wearing warm clothing.,Eine warm gekleidete Frau fährt in einem verschneiten Gebiet Ski.,Eine Frau schwebt in einem schneebedeckten Bereich in warmer Kleidung.
Four girls and a lady learning how to do some crafts.,Vier Mädchen und eine Frau lernen zu basteln.,"Vier Mädchen und eine Frau lernen, wie man einige Handwerke macht."
A man wearing black and white stripes is trying to stop a horse.,"Ein Mann in schwarz-weiß gestreifter Kleidung versucht, ein Pferd anzuhalten.","Ein Mann mit schwarzen und weißen Streifen versucht, ein Pferd zu stoppen."
The gentleman is scanning the image that the woman in the blue shirt is providing him.,"Der Herr scannt das Bild, das ihm die Frau im blauen Hemd zeigt.","Der Herr scannt das Bild, das ihm die Frau im blauen Hemd liefert."
A woman with red-hair is neck deep in cloudy blue water.,Eine Frau mit roten Haaren steht bis zum Hals in trübem blauem Wasser.,Eine Frau mit rotem Haar hat den Hals tief im bewölkten blauen Wasser.
Two young boys pose with a puppy for a family picture.,Zwei kleine Jungen posieren mit einem Welpen für eine Familienfoto.,Zwei junge Jungs posieren mit einem Welpen für ein Familienbild.
Four children practice karate while two adults watch.,Vier Kinder üben Karate während zwei Erwachsene zusehen.,"Vier Kinder üben Karate, während zwei Erwachsene beobachten."
A man lounges on a red sofa in a furniture showroom.,Ein Mann liegt auf einem Sofa in einem Möbelhaus.,Ein Mann sitzt auf einem roten Sofa in einem Möbelsalon.
A group of people talking at tables.,Eine Gruppe von Leuten unterhält sich an Tischen.,"Eine Gruppe von Leuten, die an den Tischen sprechen."
