de,en,predicted_de
Zwei Frauen in Militäruniformen stehen mit anderen Soldaten in Formation.,Two women in military uniform are standing with other soldiers in formation.,Zwei Frauen im Militär-Uniform stehen auf einem We
Drei Mädchen lächeln für ein Foto.,Three girls are smiling for a picture.,"Drei Mädchen lächeln für ein Foto. 


"
Die Dame mit der schwarz gerahmten Brille und der gelben Sweatjacke blickt verwirrt während sie auf der braunen Bank sitzt.,The lady wearing black rimmed glasses and a yellow sweater jacket looks confused as she sits on the tan covered bench.,Die Frau mit schwarzem Schutzjacke und gelbem Pullover sitz
"Ein rothaariger junger Mann trinkt aus einem Springbrunnen, der wie eine Frau geformt ist.",A red-haired young man drinks from a water fountain shaped like a woman.,Ein rothaariges junger Mann trinkt von einer Wasserbrüc
Zwei Männer und eine Frau gehen eine Straße in einer Stadt entlang.,Two men and a woman are walking down a city street.,Zwei Männer und eine Frau gehen die Straße einer St
Ein Mann mittleren Alters mit roten Haaren und Brille hält einen Säugling.,A middle-aged man with red-hair and glasses holding an infant.,Ein Mann mittleren Alters mit roten Haaren und Brille hält e
Ein kleiner Junge mit roter Mütze reitet auf einem Pferd.,A young boy in a red hat rides on a horse.,Ein Junge mit einem roten Hut fährt über einen P
Zwei Jungen spielen auf dem Gehsteig.,Two boys are playing on the sidewalk.,"Zwei Jungen spielen auf dem Gehweg. 


"
Ein kleines Mädchen in einem schwarzen Badeanzug hält eine Schaufel am Strand.,A little girl wearing a black swimming suit holding a shovel at a beach.,"Ein kleines Mädchen in einem schwarzen Badeanzug,"
Alter Mann mit Hut und Mantel schläft im Sitzen auf einem Sofa.,Old man wearing a hat and coat sleeping sitting up on a sofa.,Ein alter Mann mit Hut und Mantel schläft sitzt über e
Zwei Jungen in Winterkleidung sehen zum Himmel hoch und winken mit den Armen.,Two boys are looking up at the sky and waving theirs arms and they are dressed in clothes to keep them warm.,Zwei Jungen schauen auf den Himmel und winkeln ihrer Ar
Ein junges Paar sitzt auf dem Gehsteig und entspannt gemeinsam.,A young couple sits on the sidewalk and relaxes together.,Ein junges Paar sitzt auf dem Bürgersteig und unter
Ein Jugendlicher in Hemd und Krawatte kniet und macht ein Peace-Zeichen.,A youth wearing a shirt and tie crouching down and giving the peace sign.,Ein Jugendlicher in einem Hemd und Krawatte kniet und
Drei Personen sitzen an einem Tisch vor der Bar Gelati Tabacchi.,Three people sitting at a table outside Bar Gelati Tabacchi.,Drei Menschen sitzen an einem Tisch vor der Bar Gelati Tabakki
Ein Junge in einem schwarzen Shirt und mit roten Schweißbändern hängt kopfüber während andere Leute zusehen.,A boy in a black shirt and red wristbands hanging upside down while other people look on.,"Ein Junge mit schwarzen Hemden und roten Schulterbanden, der"
Ein Mann geht vor einem bunten Wandgemälde vorbei.,A man walking in front of a colorful wall mural.,Ein Mann geht vor einer bunten Wandmüllmalerei entlang
"Ein junger Mann, der mit einem weiteren jungen Mann unterwegs ist, blickt sich nach drei Mädchen um, an denen sie gerade vorbeigegangen sind.",A young man walking with another young man glances back at three girls they just passed,"Ein junger Mann geht mit einem anderen Jungen vorbei, und"
Ein Mann schneidet in einem gartenähnlichen Café eine Palme zurück.,A man trimming a palm tree inside a patio-type cafe'.,Ein Mann schneidet eine Palmtree in einer Patio-Caf
"Fünf Personen, angeführt von einer Frau in einem pinken Hemd und braunen Rock, gehen eine Treppe hoch.",Five people walking up a set of stairs led by a woman in a pink shirt and brown skirt.,"Fünf Menschen gehen eine Stufe Treppe hinunter,"
Eine Gruppe von Menschen auf einem Obstmarkt im Freien.,A group of people at an outdoor fruit market,Eine Gruppe von Menschen in einem Markt auf dem Freien mit Obst.
"Zwei Jungen essen ihr McDonald's-Menü im Außenbereich, umgeben von vielen anderen Leuten.",Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people.,Zwei Jungen essen ihre McDonalds-Meal im Freien auf e
Eine Frau in einer Jeansjacke geht auf einem Gehweg.,A woman wearing a denim jacket walking along a sidewalk,Eine Frau in einem Jeansjacke geht an einer Bürgerste
Ein Mann fährt ein Allradfahrzeug mit vier Passagieren vorne und einem seitlich sitzenden Mann hinten.,A man driving a four wheeled vehicle with four passengers riding on the front and a man sitting sideways on the back.,Ein Mann fährt einen Fahrzeug mit vier Stühlen
Ein Mann in einem smaragdgrünen Hemd liest eine Zeitung.,A man in a teal shirt reads a newspaper.,"Ein Mann mit einem blauen Hemd liest Zeitung. 


Ex"
Ein Junge in einem Rutschfahrzeug trägt ein grünes Shirt und hält ein Buch.,A boy in a stroller is wearing a green shirt and holding a book.,Ein Junge mit einem Kinderwagen trägt grünen Oberteil und h
Zwei Kinder sitzen nebeneinander und essen Süßigkeiten.,Two children sit side by side while eating a treat.,Zwei Kinder sitzen an der Seite und essen ein Getränk.
"Radfahrer auf der Straße, alle tragen Helme.","People are riding bicycles in the street, and they are all wearing helmets.",Mehrere Personen fahren Fahrrad auf der Straße und alle tr
"Menschengruppen, die alle Fahrrad fahren.",Crowds of people are all riding bicycles.,"Eine Menschenmenge fährt auf Fahrraden. 


"
Ein Mann sitzt auf einer Plattform mit Rädern und wird von einem Esel gezogen.,A man seated on a platform with wheels is being pulled by a burrow.,"Ein Mann sitzt auf einem Ufer mit Rollen, während"
Ein Mann fährt auf einem Fahrrad durch einen Torbogen.,A man on a bicycle pedals through an archway.,Ein Mann fährt mit einem Fahrrad durch eine Torbau
Ein bunt gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,Ein junger Mann in einem lebenden geschmackten Kleid
Zwei Männer in Anzügen unter einem Regenschirm vor einem Graffiti.,Two men in suits under an umbrella and in front of graffiti.,Zwei Männer im Anzug unter einem Schirm vor Graffiti
Ein dünner alter Mann trägt ein schmutziges weißes Hemd und fährt Fahrrad auf der Straße.,An old skinny man wearing the dirty white shirt riding on a bicycle on the street,Ein alter rascher Mann mit einem schmutzigen weißen Hemd
"Ein Mann versucht, einen jungen Stier von einem Pferd aus mit dem Seil zu fangen.",On horseback a man attempts to rope a young bull.,Ein Mann fährt an Pferd und versucht einen kleinen
Ein Cowboy versucht von einem Pferd aus ein Kalb mit dem Lasso zu fangen.,A cowboy is attempting to lasso a calf while riding a horse.,"Ein Cowboy fährt einen Pferd und versucht, dass s"
Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,Two bicyclists with helmets on are riding past some empty country fields.,Zwei Radfahrer mit Helmen fahren an einem leeren Landweg
Ein Mann beugt sich zur Seite und zieht etwas aus einer Tasche.,A man is leaning over and pulling something out of a bag.,Ein Mann lehnt sich über und zieht etwas aus e
"Ein Mann fährt in einem motorisierten Wagen vorbei, um den Park zu sehen.",A man in a motor cart rides by to witness the park area.,"Ein Mann fährt mit einem Motorwagen an, um den Park-Raum"
Eine tätowierte Person betrachtet ein Foto auf einer Digitalkamera oder einem Handy.,"A person with tattoos is looking at a photo on a digital camera, or cellphone.",Eine Person mit Tätowüren betrachtet ein Foto auf
Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,A man in a black shirt and jeans standing on the sidewalk looking at the camera.,Ein Mann in einem schwarzen Hemd und Jeans steht auf dem B
Ein Junge und ein Mädchen stehen gemeinsam auf dem Gehsteig und betrachten einen Gegenstand.,A boy and girl standing together on the pavement as they look at an object.,Ein Junge und eine Mädchen stehen zusammen auf dem
Mehrere Personen in blauen Kitteln und eine in einem Rock und schwarzer Bluse.,Several people in blue scrubs and one in a skirt and black blouse.,Mehrere Personen mit Blau-Kleidern und einer in schwarz
Eine Frau und eine Hund sitzen auf einer weißen Bank in der Nähe eines Strandes.,A woman and a dog sit on a white bench near a beach.,Eine Frau und ein Hund sind neben einer Strand auf e
Zwei Frauen gehen auf der Erde vor einem Gebäude.,Two women are walking in dirt outside a large building.,Zwei Frauen gehen im Feld vor einem großen Gebäude
Eine Gruppe von Männern und ein Kind in weißen Shorts stehen auf der Straße.,A group of men and a child in white shirts are standing in the road.,Eine Gruppe von Männern und ein Kind im weißen Hem
Eine ganz in schwarz gekleidete Frau trägt auf dem Gehsteig eine schwarze Tasche.,A woman wearing all black and carrying a black bag on sidewalk,Eine schwarze Frau mit gekleidetem Schloss und einer sch
Gruppe von Männern sitzt an einem Tisch und unterhält sich.,Group of men sitting around a table having a conversation.,Eine Gruppe Männer sitzt um einen Tisch und unterhal
Ein Wandgemälde auf einem Gebäude.,A mural on the side of a building.,"Eine Wandmalerei an der Seite eines Gebäudes. 

"
Ein asiatischer Mann mit Handschuhen arbeitet an einem Imbissstand.,An Asian man wearing gloves is working at a food stall.,Ein asiatischer Mann mit Handschuhen arbeitet an einem Essenstand.
Frau sitzt an einem Tisch und arbeitet an ihrem Laptop.,Woman sitting at a table while working on her laptop computer.,Eine Frau sitzt an einem Tisch und arbeitet mit ihren
Eine Person sieht zum Computer auf einem Tisch mit einem Telefon und einer Schachtel.,A person is looking at the computer on a desk with a phone and a box.,"Eine Person betrachtet dabei ein Computer an der Tisch, mit e"
"Ein Mann sitzt in einem Stuhl und beobachtet Leute, die vorbeigehen.",A man sits in a chair watching people stroll by.,"Ein Mann sitzt in einem Stuhl und beobachtet Leute,"
Zwei Personen mit Hüten stehen auf einem Feld und pflegen Nutzpflanzen.,Two people wearing hats are standing in a field tending to a crop.,Zwei Menschen mit Hut befinden sich einen Pflanzen und verw
Jemand springt in Barcelona über ein Reck.,Some leaping over a high bar in Barcelona.,Einige leutern über einen hohen Balken im Barcelone.
Ein Mann in Stiefeln und einem Cowboyhut sitzt auf einem springenden Pferd während Zuschauer auf den Tribünen sitzen.,A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.,"Ein Mann mit Boots und Cowboyhut, der über einen Pferd spring"
Zwei junge Mädchen sitzen auf der Straße und essen Mais.,Two young girls are sitting on the street eating corn.,Zwei jungen Mädchen sitzen auf der Straße und essen K
Drei Kinder in Footballtrikots zweier verschiedener Mannschaften spielen Football auf einem Footballplatz während ein weiterer Spieler und ein Erwachsener im Hintergrund stehen.,"Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.",Drei Kinder im Fußballkleidung von zwei verschiedenen Mann
Ein kleines Kind mit schmutzigem Gesicht wird von einer alten Frau gehalten.,A young child with a dirty face being held by an old woman.,Ein junges Kind mit einem schmutzigen Gesicht wird von einer �
Ein Mann mit Brille blickt in die Kamera während ein anderer Mann in einem blauen Hemd sich auf etwas konzentriert.,A man with glasses looks at camera while another man in a blue shirt looks intently at something.,"Ein Mann mit Brille schaut an einem Kamera, während eine"
Zwei Personen sitzen unter einem Baum mit grünem Gemüse.,Two people sitting under a tree picking a green vegetable.,Zwei Personen sitzen unter einem Baum und sind um ein grü
Ein kleiner Junge mit einer blauen Mütze blickt durch ein Teleskop während ein anderer Junge zusieht.,A young boy wearing a blue hat is looking through a telescope while another boy watches.,Ein Junge mit einem blauen Hut schaut durch einen Telesk
3 Männer kochen in einer kleinen Küche.,3 men cooking in a small kitchen.,"Drei Männer, die im kleinen Küchen essen. 
"
Ein junges Mädchen in einem grauen Schneeanzug fährt Ski auf einem verschneiten Berg.,A young girl wearing a gray snowsuit skiing on a snowy mountain.,Ein junges Mädchen in einem grauen Schneechern fä
Eine Gruppe von Dorfbewohnerinnen versammelt sich beim Tanz.,A group of village women gathered in dance,"Eine Gruppe von Gemeindenmännern, die im Tanz versamm"
Ein Mann und eine Frau sortieren Wäsche mit Latexhandschuhen.,A man and a woman are sorting through laundry with latex gloves on.,Ein Mann und eine Frau sind mit Latexglänzen über
Ein junges Mädchen sitzt auf einem Holzstuhl.,A young girl sitting on a wooden chair.,Ein junges Mädchen sitzt auf einem Holzbedeckung
Zwei Arbeiter verschweißen die Stangen eines Zauns an einer viel befahrenen Vorstadtstraße.,Two workers weld the bars of a fence near a busy suburban street.,Zwei Arbeiter schneiden den Schlagen eines Zauns in der N
Ein junger Mann mit langen Haaren fährt an einem bewölkten Tag Skateboard auf dem Geländer.,A long-haired young man skateboarding on the rails on a cloudy day.,Ein lächelnder junger Mann fährt mit einem Skateboard am
Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,In a outdoor market two men shovel snow and slush out of the path.,Zwei Männer schaufen Schnee und Sluschungen auf e
Ein Typ in einem weißen Hemd spielt auf einer weißen Gitarre.,A guy wearing a white shirt is playing a white guitar.,Ein Mann in einem weißen T-Shirt spielt Gitarre
"Ein junges Mädchen zeigt seiner Freundin, wie man eine Einwegkamera verwendet.",A young girl shows her friends how to use a disposable camera.,"Ein junges Mädchen zeigt ihre Freunde, die e"
Ein kleiner Junge springt von einem Steg in einen See.,A little boy jumping off of a dock into a lake.,Ein kleiner Junge springt von einem Dreck in eine See hoch
Eine sehr unglücklich aussehende Dame mit einer grünen Maske beim Zahnarzt.,Lady with a green mask at the dentist and she just look very unhappy.,"Eine Dame mit grünen Maske bei den Zahnarzt, die n"
Ein Mann mit einer orangen Jacke und blauem Mütze klettert auf einen verschneiten Berg.,A man with an orange jacket and blue hat climbing a snowy mountain.,Ein Mann mit einem orangen Jacke und blauem Hut klettert e
Ein kleines Mädchen mit blonden Haaren spielt und spritzt in einer Schlammpfütze.,A little girl with blond-hair is playing and splashing in a mud puddle.,Ein kleines Mädchen mit blonde Haaren spielt und schwimm
Ein Kind fährt auf einem Fahrrad durch eine Gasse mit einem Graffiti.,A child is riding a bike down an alleyway with graffiti in it.,"Ein Kind fährt mit dem Fahrrad einen Straßenweg,"
Eine Turnerin wird bei einer Veranstaltung beurteilt.,A gymnast is being judged at en event.,Ein Turnkunstler wird beim Ausbruch eines Verfahren
Menschen gehen auf einer Straße mit einem Straßenhändler.,People walking down the street with a street vendor.,Menschen gehen eine Straßenverkäufer die Straße entlang
"Ein Mann in traditionellem Gewand steht neben seinem Esel, der anscheinend auch bekleidet ist.","Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.","Ein Mann im traditioneller Kleidung, der neben seinem Pferd steht"
Zwei Kinder spielen auf einem Fahrrad.,Two children are playing on a bicycle.,"Zwei Kinder spielen auf einem Fahrrad. 


"
Zwei Männer aus gegnerischen Mannschaften spielen Fußball auf einem Fußballplatz.,Two men on opposing teams are playing soccer in a field.,"Zwei Männer, die an verschiedenen Spielerinnen teil"
"Ein Mann springt in die Luft und posiert für Fotografen, die auf dem Boden liegen.",A man jumps and poses for photographers lying on the ground.,"Ein Mann springt und posiert für Fotografern, die auf"
Das Mädchen trinkt aus einem Springbrunnen.,The girl is taking a drink from a water fountain.,Die Mädchen macht einen Wasserbrunnen und nimmt sich
Der Hobbyhöhlenforscher findet auf seiner Wanderung Wasser.,The spelunker finds water during his trek.,"Der Spiesschaukel findet Wasser auf der Reise. 

"
Ein Mann in einem Laborkittel blickt durch ein Mikroskop.,A man in a lab coat is looking through a microscope.,Ein Mann im Labekoträger schaut durch einen Mikroskop
Ein blondes Mädchen schläft auf einer braunen Couch.,A blond girl sleeps on a brown couch.,Ein blonde Mädchen schläft an einem braunen Sofa.
Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,A man sweeps a sidewalk outside of a brick building during the day.,Ein Mann räumt eine Bürgersteig im Freien bei der
Drei Männer kochen in einer Küche.,Three men are cooking in a kitchen.,"Drei Männer kochten in einem Küche. 


"
Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,A man on a scaffold in front of a house is smiling and posing for the photographer.,Ein Mann auf einem Gerüst vollkommt und posiert f
Zwei Mädchen in Shorts halten Händchen an einem Pool.,Two girls in shorts are holding hands at a pool.,Zwei Mädchen in kurzen Hosen halten Hand an einem Schwim
Vier asiatische Kinder sitzen auf einer Bank und winken lächelnd in die Kamera.,Four Asian kids sit on a bench and wave and smile to the camera.,Vier asiatische Kinder sitzen auf einer Bank und winken in die Kamera
Kinder auf Fahrrädern in einem scheinbar verarmten Land.,Children ride bikes in what appears to be an impoverished nation.,Kinder fahren Fahrrad auf einem geschäftlichen Land.
Ein kleiner Junge mit Kochmütze und Schürze schneidet in einer Küche Würstchen.,"A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.",Ein kleiner Junge mit einem Schäfermütze und Aktu
Das ist ein Clown in einer Grundschule.,This is a clown at an elementary school.,Diese ist ein Clown bei einem Erziehungsschule. 
Der Schiffskapitän lächelt und hält das Steuerrad seines hölzernen Schiffs.,The smiling ship captain is holding the wheel of his wooden ship.,Der lächelnde Kapitän hat den Wagen eines Holzschiffs
Ein gelber Bulldozer schafft Erdreich aus dem Weg.,A yellow bulldozer working to move dirt.,"Ein gelber Bulldozerschlepper, das von den Baumstammeln"
"Eine Frau in einem roten Hemd reitet auf einem weißen Pferd, das an den Bäumen entlang galoppiert.",A woman in a red shirt is riding an all white horse that is galloping along the trees.,Eine Frau mit einem roten Hemd reitet über einen we
Eine Frau sitzt vor Bäumen im Hintergrund auf einem sehr großen Stein und lächelt in die Kamera.,A woman sitting on a very large rock smiling at the camera with trees in the background.,Eine Frau sitzt auf einem sehr großen Felsen und l
"Drei Männer in bunten Kostümen, Perücken und verrückten Sonnenbrillen gehen auf die Straße.",Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.,"Drei Männer in bunter Kostümen mit Schutzkörper,"
Ein Mädchen spielt in einem kleinen Pool.,A girl plays in a small pool.,"Ein Mädchen spielt im kleinen Schwimmbecken. 

"
"Zwei Kinder, ein Junge in einem gelben Shirt und ein Mädchen in blau-weiß gestreiften Klamotten, schaukeln.","Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.",Zwei Kinder schaukeln. Ein Junge mit gelbem Hemd und e
Ein Mann wirft ein Fischernetz in die Bucht.,A man throws a fishing net into the bay.,"Ein Mann wirft einen Fischernetz in den Bay. 

"
"Ein Mann mit einem grauen Shirt, blauen Jeans und neongrüner Sicherheitsweste steht mit einem weißen Lieferwagen und einem weißen Gebäude im Hintergrund auf einer Bahnstrecke.","A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.","Ein Mann in einem grauen Hemd, blauen Jeans und mit e"
Zwei Bauarbeiter legen Blech über Balken.,Two construction workers are laying sheet metal across beams.,Zwei Bauarbeiter bedecken eine Metallkette über Be
Eine Band mit dezent in blau gekleideten Bandmitgliedern steht auf der Bühne.,There is a band on stage with band members wearing hints of blue.,"Eine Band mit einer Stadtstände, die Bandmembers tragen bl"
Ein Rocker mit freiem Oberkörper singt in ein Mikrofon während er Schlagzeug spielt.,A rocker with his shirt off sings into a microphone while he plays the drums.,Ein Rocker mit dem Hemd verkleidet singt in einem Mikro
"Ich sehe einen Mann, der die Artikel aus seinem Einkaufswagen nimmt um zu bezahlen.","I see a man putting his items from the shopping cart, ready to be checked out.",Ein Mann sieht seinen Essen von einer Handtür zu putzen
Der Mann mit dem Spazierstock macht einen Spaziergang.,The man with the cane is on a walk.,"Der Mann mit dem Stock geht einen Spaziergang entlang. 


Ex"
Eine Frau in einem weißen Pullover trainiert auf einem Crosstrainer.,A woman wearing a white shirt works out on an elliptical machine.,Eine Frau in einem weißen Hemd arbeitet beim Ellipt
Ein Mädchen mit einer Maske reitet auf den Schultern eines Mannes durch eine Menschenmenge.,A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.,Ein Mädchen mit einem Mask fährt über den Scho
"Zwei Mädchen, eines älter und in Schwarz, das andere jünger und in Weiß, machen dieselbe Tanzbewegung vor einer Dekoration aus Ballons.","Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.","Zwei Mädchen, einer über ihre alten Personen is"
Mehrere Frauen führen vor einem Gebäude einen Tanz auf.,Several women are performing a dance in front of a building.,"Mehrere Frauen tanzen vor einem Gebäude. 
Output"
Ein glatzköpfiger Mann geht auf einem Gehsteig und telefoniert mit seinem Handy.,A bald man walking down a city sidewalk while talking on his cellphone.,"Ein kahlhäutiger Mann, der eine Stadtsteig entlang"
Eine Frau spielt mit Fingerpuppen während ein kleines Kind in einem Kostüm vorbeigeht.,A woman plays with finger puppets as a small child in a costume walks by.,"Eine Frau spielt mit Fingerpuppen, während ein k"
"Eine Gruppe von Leuten beobachtet junge Männer, die auf Eimern Schlagzeug spielen.",A group of people watch young men play the drums using makeshift buckets as instruments.,"Eine Gruppe von Menschen betrachtet junge Männer, die Sch"
Ein Mädchen mit gewöhnlicher und improvisierter Schutzausrüstung fährt Rollerblades.,A girl with normal and improvised safety gear rollerblades.,Ein Mädchen mit nicht- und gegenwertiger Sicherhe
Ein kleines weißes Auto steht auf den Bahngleisen und wurde eventuell vom Zug im Hintergrund gerammt.,A small white car is on the train tracks and may or may not have been hit by the train behind it.,"Ein kleines weißes Auto auf der Bahnstrecke, w"
Zwei Rocker singen und spielen auf einer dunklen Bühne.,Two rockers are singing and playing on a dark stage.,Zwei Rockern singen und spielen auf einer dunklen Bühne
"Ein Mädchen mit einer Baseballmütze, weißem T-Shirt und blauen Shorts steht in einem von Wald umgebenen Gebirgsbach.","A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.","Ein Mädchen mit Baseballmütze, weißem T-Sh"
Zwei Männer spielen Gitarre vor einem großen Publikum.,Two men playing guitar in front of a large audience.,Zwei Männer spielen Gitarre vor einer großen Pub
Mehrere Leute tanzen vor diesem riesigen Haus mit ihren Partnern.,A number of people are dancing with their significant others in front of this huge house.,Viele Menschen tanzen mit ihren Sünden vor einem groß
Frau mit Hund verkauft ihre Ware im Freien auf den Treppen des alten Gebäudes.,Woman and dog selling her wares on the old building steps outside.,Eine Frau und ein Hund verkaufen sich auf den alten
Eine Frau diskutiert mit zwei professionell gekleideten Männern.,"A woman and two men, that are dressed professionally, are having a discussion.",Eine Frau und zwei Männer in professioneller Kleidung unterhal
Eine Gruppe von Männern in roten und schwarzen Jacken sitzt auf Motorrädern und wartet.,A group of men in red and black jackets waits on motorcycles.,Eine Gruppe Männer mit roten und schwarzen Jacke wartet a
Ein Typ in einem weißen Trikot mit der Nummer 3 auf dem Rücken spielt Fußball.,A guy dressed in a white uniform with a number 3 on it playing soccer.,Ein Mann im einem weißen Trikot mit der Nummer 3 sp
Ein Mann verkauft Snacks bei einer Sportveranstaltung.,A man is selling snacks at a sporting event.,"Ein Mann verkauft in einer Sportfeste Essen. 

"
"Zwei Männer vom grünen Team tackeln in einem Rugbymatch die anderen Spieler des schwarzen Teams, um an den Ball zu kommen.",Two males from the green team tackles the other members from black team for the ball in a game of rugby.,"Zwei Männer von den grünen Team, um die anderen Mitglied"
Kinder kämpfen um den Ballbesitz.,Kids compete to gain possession of the soccer ball.,"Kinder versuchen, den Schüssel eines Fußballs zu erfolgen"
Eine Person in Blau wirft auf einer Bowlingbahn als einzige ihre Kugel.,A person in blue is the only person currently throwing their ball at a bowling alley.,"Eine blau gekleidete Person ist der andere Menschen, die i"
Mehrere Fußballer auf einem Feld in Aktion.,Several football players on a field in action.,"Mehrere Footballspieler auf einem Feld beim Spielen. 


"
"Junger Mann sitzt auf einem Skateboard, hält sein Handy und posiert auf der Rolltreppe.","Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.",Ein junger Mann sitzt mit einem Handy auf dem Skateboard und
Eine blau gekleidete Frau läuft einen Marathon.,A lady dressed in blue running a marathon.,"Eine blaue Frau, die ein Marathon rennt. 


"
Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,This band is getting ready to perform in front of an audience at church.,Diese Band bereitet sich vor einer Publikum im Kirche
"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.",# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,Ein Spieler des #8 für den ISU streckt seine Armee
"Zwei männliche Curler sind auf dem Eis und wischen den Pfad vor dem Stein, während eine kleine Menschenmenge zusieht.","Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.",Zwei Männerlosen beim Curling-Spielen schneidern
Männer spielen auf einem matschigen Platz Fußball.,Men play soccer on a muddy field.,Männer spielen Fußball an einem schmutzigen Feld. 
Ein Basketballspieler in Weiß geht in die Hocke während ein Spieler in Rot auf ihn zu läuft.,A basketball player in white squats while a player in red moves toward him.,"Ein Basketballspieler im weißen Trikot wirft, wä"
Menschen gehen durch einen Torbogen in einer alt aussehenden Stadt.,People walk through an arch in an old-looking city.,Menschen gehen durch eine Tor aus einem alten städtischem
"Zwei Rennautos, eines rot und das andere blau, fahren nebeneinander auf einer Rennstrecke während mehrere Personen zusehen.","Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.","Zwei Rennstrecker, eine rote und eine blaue, f"
Ein Footballspieler in einem weißen Trikot hält einen Football.,A football player in a white uniform is holding a football.,Ein Footballspieler in einem weißen Trikot hält e
Ein sehr kleiner Junge guckt nach vorne während er in einen kleinen Gegenstand beißt.,A very young boy stares ahead as he is biting onto a small object.,"Ein kleines Junge betrachtet sich an, während er"
Eine Frau und ein Kind gehen eine Straße entlang.,A woman and a child are walking down a street.,"Eine Frau und ein Kind gehen einen Straßen entlang. 

"
Ein Hockeyspiel wird vor großem Publikum gespielt.,A hockey game is being played with lots of people watching it.,Ein Hockeyspiel spielt mit vollen Menschen zuschauern
Drei Frauen springen im Gras auf Bällen.,Three woman bouncing on balls in the grass.,"Drei Frauen, die auf Bällen im Gras springnen. "
"Ein afroamerikanischer Junge in blauen Shorts, einem schwarz-roten Shirt und weißen Turnschuhen spielt Tennis.","An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.",Ein afroamerikanischer Junge in blauen Shorts und einem schwar
Ein Mann und eine Frau in weißen Shirts umarmen sich.,A man and a woman in white shirts are hugging each other.,"Ein Mann und eine Frau, die weiße T-Shirts tragen"
"Ein Mann mit einer Art Messsonde spricht mit einer Familie, die versucht, zu lächeln und freundlich zu sein.",A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.,"Ein Mann spricht mit einer Familie, die sich an etwas probi"
Sehr kleiner Junge in einem grünen Shirt liegt mit dem Gesicht nach unten auf einem weißen Bett.,Very young boy in a green shirt laying face down on a white bed.,Ein sehr kleines Junge mit grünen Hemd liegt nach unt
Ein Extremradfahrer ruht sich aus während im Hintergrund die Sonne untergeht.,An extreme cyclist stops to rest as the sun sets in the background.,"Ein Extremradfahrer, der dabei im Hintergrund die Sonne"
Eine warm gekleidete Frau fährt in einem verschneiten Gebiet Ski.,A woman is skying in a snowy area wearing warm clothing.,Eine Frau fährt im schneeigen Bereich Skiing und trägt
Vier Mädchen und eine Frau lernen zu basteln.,Four girls and a lady learning how to do some crafts.,"Vier Mädchen und eine Dame lernen, die Werkstüc"
"Ein Mann in schwarz-weiß gestreifter Kleidung versucht, ein Pferd anzuhalten.",A man wearing black and white stripes is trying to stop a horse.,"Ein Mann in schwarzweißer Weingruppe versucht, eine"
"Der Herr scannt das Bild, das ihm die Frau im blauen Hemd zeigt.",The gentleman is scanning the image that the woman in the blue shirt is providing him.,"Der Herr schaut die Bild, der das Frau im blauen Oberteil"
Eine Frau mit roten Haaren steht bis zum Hals in trübem blauem Wasser.,A woman with red-hair is neck deep in cloudy blue water.,Eine Frau mit roten Haaren macht sich nach dem Kopf dabe
Zwei kleine Jungen posieren mit einem Welpen für eine Familienfoto.,Two young boys pose with a puppy for a family picture.,Zwei kleine Jungen posieren mit einem Hund für ein Fam
Vier Kinder üben Karate während zwei Erwachsene zusehen.,Four children practice karate while two adults watch.,"Vier Kinder trainieren Karate, während zwei Erwachsene"
Ein Mann liegt auf einem Sofa in einem Möbelhaus.,A man lounges on a red sofa in a furniture showroom.,Ein Mann liegt an einem Schuhebauzentrum auf einer
Eine Gruppe von Leuten unterhält sich an Tischen.,A group of people talking at tables.,"Eine Gruppe Leute reden an Tischtennen. 

	
"
