de,en,predicted_de,predicted_en
"Ein rothaariger junger Mann trinkt aus einem Springbrunnen, der wie eine Frau geformt ist.",A red-haired young man drinks from a water fountain shaped like a woman.,,"A red-haired young man drinks from a fountain in the shape of a woman.
"
Zwei Männer und eine Frau gehen eine Straße in einer Stadt entlang.,Two men and a woman are walking down a city street.,,"Two men and a woman walk along a street in a city.
"
Ein Mann mittleren Alters mit roten Haaren und Brille hält einen Säugling.,A middle-aged man with red-hair and glasses holding an infant.,,"A man in his middle age has a little boy with red hair and glasses.
"
Ein kleiner Junge mit roter Mütze reitet auf einem Pferd.,A young boy in a red hat rides on a horse.,,"A little boy with red hair rides on a horse.
"
Zwei Jungen spielen auf dem Gehsteig.,Two boys are playing on the sidewalk.,,"Two children are playing on the swing set.
"
Ein kleines Mädchen in einem schwarzen Badeanzug hält eine Schaufel am Strand.,A little girl wearing a black swimming suit holding a shovel at a beach.,,"A little girl is holding a seashell on the beach.
"
Alter Mann mit Hut und Mantel schläft im Sitzen auf einem Sofa.,Old man wearing a hat and coat sleeping sitting up on a sofa.,,The man sleeps on the couch in his bedroom with an armchair and a lamp next to him.
Zwei Jungen in Winterkleidung sehen zum Himmel hoch und winken mit den Armen.,Two boys are looking up at the sky and waving theirs arms and they are dressed in clothes to keep them warm.,,"Two children are playing with snowballs and looking at the sky high above them, smiling happily.
"
Ein junges Paar sitzt auf dem Gehsteig und entspannt gemeinsam.,A young couple sits on the sidewalk and relaxes together.,,"A young couple is sitting on the bench and holding hands together.
"
Ein Jugendlicher in Hemd und Krawatte kniet und macht ein Peace-Zeichen.,A youth wearing a shirt and tie crouching down and giving the peace sign.,,"A young man in a red coat sat and drew a peace sign.
"
Drei Personen sitzen an einem Tisch vor der Bar Gelati Tabacchi.,Three people sitting at a table outside Bar Gelati Tabacchi.,,"Three people are sitting at a table near the chocolate cake and cigarettes.
"
Ein Junge in einem schwarzen Shirt und mit roten Schweißbändern hängt kopfüber während andere Leute zusehen.,A boy in a black shirt and red wristbands hanging upside down while other people look on.,,A young man wearing a black shirt and holding red balloons is standing next to other people while they are
Ein Mann geht vor einem bunten Wandgemälde vorbei.,A man walking in front of a colorful wall mural.,,"A man walks past a colorful painting on his way out.
"
"Ein junger Mann, der mit einem weiteren jungen Mann unterwegs ist, blickt sich nach drei Mädchen um, an denen sie gerade vorbeigegangen sind.",A young man walking with another young man glances back at three girls they just passed,,A young boy who was walking with a much younger boy sees three girls ahead of him and starts running
Ein Mann schneidet in einem gartenähnlichen Café eine Palme zurück.,A man trimming a palm tree inside a patio-type cafe'.,,"A man walks into a barber shop and orders an apple pie back.
"
"Fünf Personen, angeführt von einer Frau in einem pinken Hemd und braunen Rock, gehen eine Treppe hoch.",Five people walking up a set of stairs led by a woman in a pink shirt and brown skirt.,,Five people are being escorted by a woman into a red and black rock and climb up a steep slope
Eine Gruppe von Menschen auf einem Obstmarkt im Freien.,A group of people at an outdoor fruit market,,"A group of people on a market stall in the countryside.
"
"Zwei Jungen essen ihr McDonald's-Menü im Außenbereich, umgeben von vielen anderen Leuten.",Two boys eat their McDonalds lunch in an outdoor seating area surrounded by many other people.,,Two young people want to order from the menu of a nearby fast food restaurant. They are looking for
Eine Frau in einer Jeansjacke geht auf einem Gehweg.,A woman wearing a denim jacket walking along a sidewalk,,"A woman is walking on a path.
"
Ein Mann fährt ein Allradfahrzeug mit vier Passagieren vorne und einem seitlich sitzenden Mann hinten.,A man driving a four wheeled vehicle with four passengers riding on the front and a man sitting sideways on the back.,,"A man drives a car with four doors and sits next to another person.
"
Ein Mann in einem smaragdgrünen Hemd liest eine Zeitung.,A man in a teal shirt reads a newspaper.,,"A man is reading a newspaper on a green leaf.
"
Ein Junge in einem Rutschfahrzeug trägt ein grünes Shirt und hält ein Buch.,A boy in a stroller is wearing a green shirt and holding a book.,,"A young man is driving a red car and wears a green shirt while holding a book.
"
Zwei Kinder sitzen nebeneinander und essen Süßigkeiten.,Two children sit side by side while eating a treat.,,"Two children are sitting next to each other and eating chocolate.
"
"Radfahrer auf der Straße, alle tragen Helme.","People are riding bicycles in the street, and they are all wearing helmets.",,"Driver on the street, all passengers wear seatbelts.
"
"Menschengruppen, die alle Fahrrad fahren.",Crowds of people are all riding bicycles.,,"Bicycle groups that all ride bicycles together.
"
Ein Mann sitzt auf einer Plattform mit Rädern und wird von einem Esel gezogen.,A man seated on a platform with wheels is being pulled by a burrow.,,"A man sits on a platform with ropes and is being pulled by an elephant.
"
Ein Mann fährt auf einem Fahrrad durch einen Torbogen.,A man on a bicycle pedals through an archway.,,"A man rides a bicycle through a tunnel.
"
Ein bunt gekleideter junger Mann mit sichtbaren Hautverletzungen sitzt und raucht eine Zigarette.,A colorfully dressed young man with visible skin lesions is sitting and smoking a cigarette.,,"A young man in a striped shirt is sitting and smoking cigarettes with his eyes closed.
"
Zwei Männer in Anzügen unter einem Regenschirm vor einem Graffiti.,Two men in suits under an umbrella and in front of graffiti.,,"Two men under a graffiti wall before a mural.
"
Ein dünner alter Mann trägt ein schmutziges weißes Hemd und fährt Fahrrad auf der Straße.,An old skinny man wearing the dirty white shirt riding on a bicycle on the street,,"A rainy old man wears a dirty white coat and rides his bicycle on the street.
"
"Ein Mann versucht, einen jungen Stier von einem Pferd aus mit dem Seil zu fangen.",On horseback a man attempts to rope a young bull.,,"A man tries to catch a young horse from behind with the rope.
"
Ein Cowboy versucht von einem Pferd aus ein Kalb mit dem Lasso zu fangen.,A cowboy is attempting to lasso a calf while riding a horse.,,"A cowboy is trying to catch a horse with the lasso.
"
Zwei Radfahrer mit Helmen fahren an ein paar abgeernteten Feldern vorbei.,Two bicyclists with helmets on are riding past some empty country fields.,,"Two cyclists rode a few kilometers before turning back home.
"
Ein Mann beugt sich zur Seite und zieht etwas aus einer Tasche.,A man is leaning over and pulling something out of a bag.,,"A man was looking for something and took out an item from his pocket.
"
"Ein Mann fährt in einem motorisierten Wagen vorbei, um den Park zu sehen.",A man in a motor cart rides by to witness the park area.,,"A man drives a car out of the garage and goes to see the park.
"
Eine tätowierte Person betrachtet ein Foto auf einer Digitalkamera oder einem Handy.,"A person with tattoos is looking at a photo on a digital camera, or cellphone.",,"A person who is photographed on a digital camera or with a smartphone.
"
Ein Mann in einem schwarzen Hemd und Jeans steht auf dem Gehsteig und blickt in die Kamera.,A man in a black shirt and jeans standing on the sidewalk looking at the camera.,,"A man is sitting on the couch and looks at the camera.
"
Ein Junge und ein Mädchen stehen gemeinsam auf dem Gehsteig und betrachten einen Gegenstand.,A boy and girl standing together on the pavement as they look at an object.,,"A boy and a girl stand together on the bridge and have a conversation.
"
Mehrere Personen in blauen Kitteln und eine in einem Rock und schwarzer Bluse.,Several people in blue scrubs and one in a skirt and black blouse.,,There are several people sitting on blue chairs and a person is reading a book under a red umbrella.
Eine Frau und eine Hund sitzen auf einer weißen Bank in der Nähe eines Strandes.,A woman and a dog sit on a white bench near a beach.,,"A woman and her dog are sitting on a white bench by the beach.
"
Zwei Frauen gehen auf der Erde vor einem Gebäude.,Two women are walking in dirt outside a large building.,,"Two women are walking towards a building.
"
Eine Gruppe von Männern und ein Kind in weißen Shorts stehen auf der Straße.,A group of men and a child in white shirts are standing in the road.,,"A group of men and a child are walking on the street.
"
Eine ganz in schwarz gekleidete Frau trägt auf dem Gehsteig eine schwarze Tasche.,A woman wearing all black and carrying a black bag on sidewalk,,"A very pretty woman is carrying a black purse on her shoulder.
"
Gruppe von Männern sitzt an einem Tisch und unterhält sich.,Group of men sitting around a table having a conversation.,,"Group of men is sitting at a table and holding hands.
"
Ein Wandgemälde auf einem Gebäude.,A mural on the side of a building.,,"A painting on the wall of a building.
"
Ein asiatischer Mann mit Handschuhen arbeitet an einem Imbissstand.,An Asian man wearing gloves is working at a food stall.,,"An Asian man works at a restaurant with gloves on.
"
Frau sitzt an einem Tisch und arbeitet an ihrem Laptop.,Woman sitting at a table while working on her laptop computer.,,"She is sitting at a table and working on her laptop.
"
Eine Person sieht zum Computer auf einem Tisch mit einem Telefon und einer Schachtel.,A person is looking at the computer on a desk with a phone and a box.,,"A person sits at the computer on a table with a phone and a bag.
"
"Ein Mann sitzt in einem Stuhl und beobachtet Leute, die vorbeigehen.",A man sits in a chair watching people stroll by.,,"A man sits on a chair and watches people walking by.
"
Zwei Personen mit Hüten stehen auf einem Feld und pflegen Nutzpflanzen.,Two people wearing hats are standing in a field tending to a crop.,,"Two people with hats are walking on a field and picking fruits.
"
Jemand springt in Barcelona über ein Reck.,Some leaping over a high bar in Barcelona.,,"My friend came to Barcelona over the weekend.
"
Ein Mann in Stiefeln und einem Cowboyhut sitzt auf einem springenden Pferd während Zuschauer auf den Tribünen sitzen.,A man dressed in boots and a cowboy hat sits atop a horse that is jumping while spectators sit in the stands.,,A man sits on top of his horse while pulling a sled across the snow-covered field during winter
Zwei junge Mädchen sitzen auf der Straße und essen Mais.,Two young girls are sitting on the street eating corn.,,"Two young girls are sitting on the street and eating apples.
"
Drei Kinder in Footballtrikots zweier verschiedener Mannschaften spielen Football auf einem Footballplatz während ein weiterer Spieler und ein Erwachsener im Hintergrund stehen.,"Three children in football uniforms of two different teams are playing football on a football field, while another player and an adult stand in the background.",,Three children are playing football against two different teams on the field while an adult and a spectator watch from
Ein kleines Kind mit schmutzigem Gesicht wird von einer alten Frau gehalten.,A young child with a dirty face being held by an old woman.,,"A little boy with a crooked face is being given away by an old woman.
"
Ein Mann mit Brille blickt in die Kamera während ein anderer Mann in einem blauen Hemd sich auf etwas konzentriert.,A man with glasses looks at camera while another man in a blue shirt looks intently at something.,,A man with glasses looks at the camera while another man is wearing a blue hat sitting on something concentrated
Zwei Personen sitzen unter einem Baum mit grünem Gemüse.,Two people sitting under a tree picking a green vegetable.,,"Two people are sitting under a tree with green apples.
"
Ein kleiner Junge mit einer blauen Mütze blickt durch ein Teleskop während ein anderer Junge zusieht.,A young boy wearing a blue hat is looking through a telescope while another boy watches.,,"A little boy with a blue hat looks through a telescope while another boy passes by him.
"
3 Männer kochen in einer kleinen Küche.,3 men cooking in a small kitchen.,,"Three men are cooking in a small kitchen.
"
Ein junges Mädchen in einem grauen Schneeanzug fährt Ski auf einem verschneiten Berg.,A young girl wearing a gray snowsuit skiing on a snowy mountain.,,"A young girl rides her bike on a green snow-covered mountain trail.
"
Eine Gruppe von Dorfbewohnerinnen versammelt sich beim Tanz.,A group of village women gathered in dance,,"A group of neighborhood women gathered for a dance.
"
Ein Mann und eine Frau sortieren Wäsche mit Latexhandschuhen.,A man and a woman are sorting through laundry with latex gloves on.,,"A man and a woman are going out with latex gloves on.
"
Ein junges Mädchen sitzt auf einem Holzstuhl.,A young girl sitting on a wooden chair.,,"A young girl sits on a wooden stool.
"
Zwei Arbeiter verschweißen die Stangen eines Zauns an einer viel befahrenen Vorstadtstraße.,Two workers weld the bars of a fence near a busy suburban street.,,"Two workers break a gate of a very crowded alleyway street.
"
Ein junger Mann mit langen Haaren fährt an einem bewölkten Tag Skateboard auf dem Geländer.,A long-haired young man skateboarding on the rails on a cloudy day.,,"A young boy with long hair rides his skateboard on the sidewalk.
"
Zwei Männer schaufeln auf einem Freiluftmarkt den Weg von Schnee und Matsch frei.,In a outdoor market two men shovel snow and slush out of the path.,,"Two men are walking on the snow and ice at an outdoor market.
"
Ein Typ in einem weißen Hemd spielt auf einer weißen Gitarre.,A guy wearing a white shirt is playing a white guitar.,,"A man plays the piano on a white guitar.
"
"Ein junges Mädchen zeigt seiner Freundin, wie man eine Einwegkamera verwendet.",A young girl shows her friends how to use a disposable camera.,,"A young girl shows her friend how she uses a camera with an extension lens.
"
Ein kleiner Junge springt von einem Steg in einen See.,A little boy jumping off of a dock into a lake.,,"A little boy jumps from a rock into a lake.
"
Eine sehr unglücklich aussehende Dame mit einer grünen Maske beim Zahnarzt.,Lady with a green mask at the dentist and she just look very unhappy.,,"A very unlucky patient with a green mask arrived at the dentist's office.
"
Ein Mann mit einer orangen Jacke und blauem Mütze klettert auf einen verschneiten Berg.,A man with an orange jacket and blue hat climbing a snowy mountain.,,"A man with an orange jacket and blue hat is climbing up a steep mountain.
"
Ein kleines Mädchen mit blonden Haaren spielt und spritzt in einer Schlammpfütze.,A little girl with blond-hair is playing and splashing in a mud puddle.,,"A little girl with blonde hair is playing and splashing around in a pool.
"
Ein Kind fährt auf einem Fahrrad durch eine Gasse mit einem Graffiti.,A child is riding a bike down an alleyway with graffiti in it.,,"A child rides his bike through a neighborhood with graffiti on the walls.
"
Eine Turnerin wird bei einer Veranstaltung beurteilt.,A gymnast is being judged at en event.,,"A woman is attending a meeting.
"
Menschen gehen auf einer Straße mit einem Straßenhändler.,People walking down the street with a street vendor.,,"People walk on the street with a pavement cleaner.
"
"Ein Mann in traditionellem Gewand steht neben seinem Esel, der anscheinend auch bekleidet ist.","Man clothed in a traditional dress like attire, while standing next to his mule who also seems to be clothed as well.",,"A man stands beside his elephant, which he also considers sacred.
"
Zwei Kinder spielen auf einem Fahrrad.,Two children are playing on a bicycle.,,"Two children are riding bicycles.
"
Zwei Männer aus gegnerischen Mannschaften spielen Fußball auf einem Fußballplatz.,Two men on opposing teams are playing soccer in a field.,,"Two men from different ethnic backgrounds are playing soccer on a field.
"
"Ein Mann springt in die Luft und posiert für Fotografen, die auf dem Boden liegen.",A man jumps and poses for photographers lying on the ground.,,"A man jumps into the air and poses for photographers on the ground.
"
Das Mädchen trinkt aus einem Springbrunnen.,The girl is taking a drink from a water fountain.,,"The girl is playing in the spring fountain.
"
Der Hobbyhöhlenforscher findet auf seiner Wanderung Wasser.,The spelunker finds water during his trek.,,"The caving enthusiast goes on his adventure by the river.
"
Ein Mann in einem Laborkittel blickt durch ein Mikroskop.,A man in a lab coat is looking through a microscope.,,"A man looks through a microscope at something small.
"
Ein blondes Mädchen schläft auf einer braunen Couch.,A blond girl sleeps on a brown couch.,,"A blonde girl sleeps on a brown couch.
"
Ein Mann kehrt tagsüber den Gehsteig vor einem Ziegelbau.,A man sweeps a sidewalk outside of a brick building during the day.,,"A man goes past a construction site on his way home.
"
Drei Männer kochen in einer Küche.,Three men are cooking in a kitchen.,,"Three men are cooking in a kitchen.
"
Ein Mann auf einem Gerüst vor einem Haus lächelt und posiert für den Fotografen.,A man on a scaffold in front of a house is smiling and posing for the photographer.,,"A man in front of his house takes out the camera and poses for it.
"
Zwei Mädchen in Shorts halten Händchen an einem Pool.,Two girls in shorts are holding hands at a pool.,,"Two girls are holding hands at a pool.
"
Vier asiatische Kinder sitzen auf einer Bank und winken lächelnd in die Kamera.,Four Asian kids sit on a bench and wave and smile to the camera.,,Four Asian children are sitting on the bank and pointing at each other with their fingers through the camera lens
Kinder auf Fahrrädern in einem scheinbar verarmten Land.,Children ride bikes in what appears to be an impoverished nation.,,"Children on bicycles in an unsafe environment.
"
Ein kleiner Junge mit Kochmütze und Schürze schneidet in einer Küche Würstchen.,"A young boy, wearing a chef's hat and apron, is cutting sausages in a kitchen.",,"A little boy with a spoon and fork eats spaghetti in the kitchen.
"
Das ist ein Clown in einer Grundschule.,This is a clown at an elementary school.,,"That's a clown at the school.
"
Der Schiffskapitän lächelt und hält das Steuerrad seines hölzernen Schiffs.,The smiling ship captain is holding the wheel of his wooden ship.,,"The captain shouts and raises the anchor of his sinking ship.
"
Ein gelber Bulldozer schafft Erdreich aus dem Weg.,A yellow bulldozer working to move dirt.,,"A yellow bulldozer is moving soil from the road.
"
"Eine Frau in einem roten Hemd reitet auf einem weißen Pferd, das an den Bäumen entlang galoppiert.",A woman in a red shirt is riding an all white horse that is galloping along the trees.,,"A woman on a red horse gallops around the trees.
"
Eine Frau sitzt vor Bäumen im Hintergrund auf einem sehr großen Stein und lächelt in die Kamera.,A woman sitting on a very large rock smiling at the camera with trees in the background.,,"A woman is sitting on the ground near a large rock and looks at her camera.
"
"Drei Männer in bunten Kostümen, Perücken und verrückten Sonnenbrillen gehen auf die Straße.",Three men wearing brightly colored costumes take to the streets with wigs and crazy sunglasses.,,"Three men with red hats, carrying umbrellas and walking on the street are passing by us."
Ein Mädchen spielt in einem kleinen Pool.,A girl plays in a small pool.,,"A girl plays in a small pool.
"
"Zwei Kinder, ein Junge in einem gelben Shirt und ein Mädchen in blau-weiß gestreiften Klamotten, schaukeln.","Two children, a boy in a yellow shirt and a girl in blue and white stripes, swinging.",,"Two children, a boy in a green shirt and a girl wearing blue and white striped socks are playing"
Ein Mann wirft ein Fischernetz in die Bucht.,A man throws a fishing net into the bay.,,"A man puts a fishing net into the sea.
"
"Ein Mann mit einem grauen Shirt, blauen Jeans und neongrüner Sicherheitsweste steht mit einem weißen Lieferwagen und einem weißen Gebäude im Hintergrund auf einer Bahnstrecke.","A man wearing a gray shirt, blue jeans and a neon green safety vest is standing on a railroad track with a white truck and a white building in the background.",,"A man with a gray shirt, blue jeans and white sneakers stands on the sidewalk near a train station"
Zwei Bauarbeiter legen Blech über Balken.,Two construction workers are laying sheet metal across beams.,,"Two workers are carrying a barrel over the fence.
"
Eine Band mit dezent in blau gekleideten Bandmitgliedern steht auf der Bühne.,There is a band on stage with band members wearing hints of blue.,,"A band with ten members wearing blue shirts is on stage.
"
Ein Rocker mit freiem Oberkörper singt in ein Mikrofon während er Schlagzeug spielt.,A rocker with his shirt off sings into a microphone while he plays the drums.,,"A person with a free body is singing on a microphone while playing the drums.
"
"Ich sehe einen Mann, der die Artikel aus seinem Einkaufswagen nimmt um zu bezahlen.","I see a man putting his items from the shopping cart, ready to be checked out.",,"I see him buying an article from his shopping cart.
"
Der Mann mit dem Spazierstock macht einen Spaziergang.,The man with the cane is on a walk.,,"The man with the wheelchair makes a wheelchair race.
"
Eine Frau in einem weißen Pullover trainiert auf einem Crosstrainer.,A woman wearing a white shirt works out on an elliptical machine.,,"A woman wearing a white sweater is riding on a bicycle cross trainer.
"
Ein Mädchen mit einer Maske reitet auf den Schultern eines Mannes durch eine Menschenmenge.,A girl wearing a mask rides on a man's shoulders through a crowded sidewalk.,,"A girl wearing a mask runs through the schoolyard of a man's presence.
"
"Zwei Mädchen, eines älter und in Schwarz, das andere jünger und in Weiß, machen dieselbe Tanzbewegung vor einer Dekoration aus Ballons.","Two girls, one older and in black and one younger and in white, are performing the same ballet move in front of decorations made from balloons.",,"Two girls, one older and black, the other younger and white, are making balloon animals before a"
Mehrere Frauen führen vor einem Gebäude einen Tanz auf.,Several women are performing a dance in front of a building.,,"Several women are heading towards an apartment for a dance.
"
Ein glatzköpfiger Mann geht auf einem Gehsteig und telefoniert mit seinem Handy.,A bald man walking down a city sidewalk while talking on his cellphone.,,"A fast man walks on the sidewalk and calls with his cellphone in one hand.
"
Eine Frau spielt mit Fingerpuppen während ein kleines Kind in einem Kostüm vorbeigeht.,A woman plays with finger puppets as a small child in a costume walks by.,,"A woman is playing with finger puppets while a little child sits on her lap.
"
"Eine Gruppe von Leuten beobachtet junge Männer, die auf Eimern Schlagzeug spielen.",A group of people watch young men play the drums using makeshift buckets as instruments.,,"A group of young men are playing with toy guns in the park.
"
Ein Mädchen mit gewöhnlicher und improvisierter Schutzausrüstung fährt Rollerblades.,A girl with normal and improvised safety gear rollerblades.,,"A girl with a well-trained and spontaneous rollerblade outfit is riding rollerblades.
"
Ein kleines weißes Auto steht auf den Bahngleisen und wurde eventuell vom Zug im Hintergrund gerammt.,A small white car is on the train tracks and may or may not have been hit by the train behind it.,,A small white car is parked on the bus stop and was hit by another vehicle from behind in the
Zwei Rocker singen und spielen auf einer dunklen Bühne.,Two rockers are singing and playing on a dark stage.,,"Two rock singers are singing and playing on a dark stage.
"
"Ein Mädchen mit einer Baseballmütze, weißem T-Shirt und blauen Shorts steht in einem von Wald umgebenen Gebirgsbach.","A girl wearing a baseball cap, white t-shirt and blue shorts is standing in a rock-bottomed, forest-lined mountain stream.",,A girl with a baseball hat and blue shorts is sitting on top of an alpine mountain lake.
Zwei Männer spielen Gitarre vor einem großen Publikum.,Two men playing guitar in front of a large audience.,,"Two men play guitar in front of a large crowd.
"
Mehrere Leute tanzen vor diesem riesigen Haus mit ihren Partnern.,A number of people are dancing with their significant others in front of this huge house.,,"Several people are dancing in this lively house with their partners.
"
Frau mit Hund verkauft ihre Ware im Freien auf den Treppen des alten Gebäudes.,Woman and dog selling her wares on the old building steps outside.,,"A woman is buying her groceries at the supermarket on an old building's roof.
"
Eine Frau diskutiert mit zwei professionell gekleideten Männern.,"A woman and two men, that are dressed professionally, are having a discussion.",,"A woman is debating with two professionally dressed men.
"
Eine Gruppe von Männern in roten und schwarzen Jacken sitzt auf Motorrädern und wartet.,A group of men in red and black jackets waits on motorcycles.,,"A group of men wearing red and black jackets is sitting on motorcycles and chatting.
"
Ein Typ in einem weißen Trikot mit der Nummer 3 auf dem Rücken spielt Fußball.,A guy dressed in a white uniform with a number 3 on it playing soccer.,,"A ball on the number three is bouncing off of the wall behind it.
"
Ein Mann verkauft Snacks bei einer Sportveranstaltung.,A man is selling snacks at a sporting event.,,"A man buys snacks before a sports event.
"
"Zwei Männer vom grünen Team tackeln in einem Rugbymatch die anderen Spieler des schwarzen Teams, um an den Ball zu kommen.",Two males from the green team tackles the other members from black team for the ball in a game of rugby.,,Two men from the green team tackled one of the players from the black team on the field during a
Kinder kämpfen um den Ballbesitz.,Kids compete to gain possession of the soccer ball.,,"Children fight for the ball possession.
"
Eine Person in Blau wirft auf einer Bowlingbahn als einzige ihre Kugel.,A person in blue is the only person currently throwing their ball at a bowling alley.,,"A person wearing blue is bowling alone with their ball.
"
Mehrere Fußballer auf einem Feld in Aktion.,Several football players on a field in action.,,"Several footballers on the field during action.
"
"Junger Mann sitzt auf einem Skateboard, hält sein Handy und posiert auf der Rolltreppe.","Young man sitting on a skateboard, holding a cellphone, and posing on the escalator.",,"A young man sits on his skateboard, holds his hand and stands on the roller rink.
"
Eine blau gekleidete Frau läuft einen Marathon.,A lady dressed in blue running a marathon.,,"A blue-clad woman is jogging in a marathon.
"
Diese Band bereitet sich auf einen Auftritt vor Publikum in einer Kirche vor.,This band is getting ready to perform in front of an audience at church.,,"This band is preparing for an appearance before the public at a church service.
"
"Die # 8 von Iowa State streckt den Arm in Richtung eines Spielers der Texas AM beim Versuch, ihn zu tackeln.",# 8 for Iowa State stiff arms a Texas AM player attempting to tackle him.,,The number eight of Iowa State runs against a player from the Texas A&M team during practice.
"Zwei männliche Curler sind auf dem Eis und wischen den Pfad vor dem Stein, während eine kleine Menschenmenge zusieht.","Two male curling players are on ice sweeping the path in front of polished rock, a small crowd watches.",,Two men are ice skating on the lake in front of the stone while a few people watch them from
Männer spielen auf einem matschigen Platz Fußball.,Men play soccer on a muddy field.,,"Men play soccer on an artificial pitch football.
"
Ein Basketballspieler in Weiß geht in die Hocke während ein Spieler in Rot auf ihn zu läuft.,A basketball player in white squats while a player in red moves toward him.,,"A basketball player runs past a defender during the game while another one is running after him.
"
Menschen gehen durch einen Torbogen in einer alt aussehenden Stadt.,People walk through an arch in an old-looking city.,,"People go through an archway into a city from the south-east side of town.
"
"Zwei Rennautos, eines rot und das andere blau, fahren nebeneinander auf einer Rennstrecke während mehrere Personen zusehen.","Two race cars, one red and one blue, are driving side by side down a racetrack while being watched by several onlookers.",,"Two cars are moving parallel on a racetrack while several people watch them from the stands.
"
Ein Footballspieler in einem weißen Trikot hält einen Football.,A football player in a white uniform is holding a football.,,"A football player is standing on a white tricycle.
"
Ein sehr kleiner Junge guckt nach vorne während er in einen kleinen Gegenstand beißt.,A very young boy stares ahead as he is biting onto a small object.,,A very little boy was eating a piece of bread while standing next to another child on the street corner
Eine Frau und ein Kind gehen eine Straße entlang.,A woman and a child are walking down a street.,,"A woman and a child walk along the street.
"
Ein Hockeyspiel wird vor großem Publikum gespielt.,A hockey game is being played with lots of people watching it.,,"Hockey is played by a large public audience.
"
Drei Frauen springen im Gras auf Bällen.,Three woman bouncing on balls in the grass.,,"Three women are skipping on the grass in dresses.
"
"Ein afroamerikanischer Junge in blauen Shorts, einem schwarz-roten Shirt und weißen Turnschuhen spielt Tennis.","An African-American boy wearing blue shorts, a black and red shirt, and white sneakers, is playing tennis.",,"A young African boy is wearing a blue shorts, a red shirt and white tennis shoes playing tennis."
Ein Mann und eine Frau in weißen Shirts umarmen sich.,A man and a woman in white shirts are hugging each other.,,"A man and a woman wearing white shirts are standing next to each other.
"
"Ein Mann mit einer Art Messsonde spricht mit einer Familie, die versucht, zu lächeln und freundlich zu sein.",A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.,,"A man speaks with a family about his desire to be happy and friendly.
"
Sehr kleiner Junge in einem grünen Shirt liegt mit dem Gesicht nach unten auf einem weißen Bett.,Very young boy in a green shirt laying face down on a white bed.,,Very small boy is lying on the bed with his head between two pillows and wearing a blue shirt
Ein Extremradfahrer ruht sich aus während im Hintergrund die Sonne untergeht.,An extreme cyclist stops to rest as the sun sets in the background.,,"A mountaineer is standing in the shadow of the sun behind him.
"
Eine warm gekleidete Frau fährt in einem verschneiten Gebiet Ski.,A woman is skying in a snowy area wearing warm clothing.,,"A well-dressed woman is driving in a snowbound area.
"
Vier Mädchen und eine Frau lernen zu basteln.,Four girls and a lady learning how to do some crafts.,,"Four girls and a woman are learning to dance together.
"
"Ein Mann in schwarz-weiß gestreifter Kleidung versucht, ein Pferd anzuhalten.",A man wearing black and white stripes is trying to stop a horse.,,"A man wearing black and white striped clothing tries on a horse for the first time.
"
"Der Herr scannt das Bild, das ihm die Frau im blauen Hemd zeigt.",The gentleman is scanning the image that the woman in the blue shirt is providing him.,,"The man pointed at the picture that showed him and the woman in blue shirts together.
"
Eine Frau mit roten Haaren steht bis zum Hals in trübem blauem Wasser.,A woman with red-hair is neck deep in cloudy blue water.,,"A woman with red hair stands by the blue water of a pool.
"
Zwei kleine Jungen posieren mit einem Welpen für eine Familienfoto.,Two young boys pose with a puppy for a family picture.,,"Two little girls are playing with a ball for a family photo.
"
Vier Kinder üben Karate während zwei Erwachsene zusehen.,Four children practice karate while two adults watch.,,"Four children were practicing karate while two adults watched them from a distance.
"
Ein Mann liegt auf einem Sofa in einem Möbelhaus.,A man lounges on a red sofa in a furniture showroom.,,"A man is sitting on a sofa in an apartment building.
"
Eine Gruppe von Leuten unterhält sich an Tischen.,A group of people talking at tables.,,"A group of hunters is on the island.
"
"Zwei Jockeys, einer in rot-blauen Karos und der andere in Orange und Braun, liefern sich ein Rennen vor einem verschwommenen Hintergrund.","Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",,"Two jockeys, one riding a red horse and the other on an orange and brown one,"
Das rote Auto fährt vor den beiden Autos im Hintergrund.,The red car is ahead of the two cars in the background.,,"The red car drives between the two cars in front of it.
"
"Ein großer Stier versucht einen Mann bei einem Rodeo auf die Hörner zu nehmen während ein Rodeoclown herbeiläuft, um zu helfen.","A large bull targets a man, inches away, in a rodeo with his horns, while a rodeo clown runs to help.",,A big horse is trying to help a man on the rodeo by pulling him up onto the high
Ein Mann ohne Hemd geht zu einem gelben Kajak.,A shirtless man walks toward a yellow kayak.,,"A man without a hat goes to buy a blue kite.
"
Ein Junge zielt und schießt auf einem Schießstand.,A boy at a gun range aims and shoots.,,"A young boy shoots at a target.
"
Zwei Jugendteams spielen Football im Sand.,Two teams of boys playing football in the sand.,,"Two youth teams are playing soccer in the sand.
"
Ein Kind in Blau und ein Kind in Weiß stehen auf einer niedrigen Betonmauer neben einem Fluss.,A child in blue and a child in white stand on a short concrete wall by a stream.,,"Two children are playing on the ground next to a river bank made of low concrete walls.
"
Eine Frau malt ein Blumenmuster auf einen Tontopf.,A woman draws a floral design on a clay pot.,,"A woman paints a flower on top of a cake.
"
Leute gehen auf einer belebten Straße in einem fremden Land.,People are walking down a busy street in a foreign country.,,"People go on vacation to an unknown country.
"
